id,name,full_title,venue_name,venue_year,domain,reading_depth,migration_status,disposition,stop_or_include_reason,untried_parts,evidence_paths
IS005,C-Transformer_ISSCC24,C-Transformer homogeneous DNN/Spiking-Transformer processor,ISSCC,2024,attention,secondhand,not_tried,include_as_control,DNN/Spiking-Transformer同构处理器；同族硅片对照。,-,13_isscc_vlsi_hotchips_edge_npus.md
IS006,DIANA,DIANA digital+analog hybrid NN SoC,ISSCC,2022,circuit,secondhand,not_tried,deferred,数模混合NN SoC；非本数字主线。,-,13_isscc_vlsi_hotchips_edge_npus.md
IS007,TinyVers,TinyVers extreme-edge ML SoC with eMRAM,Symp. on VLSI,2022,circuit,secondhand,not_tried,deferred,极端边缘SoC；背景。,-,13_isscc_vlsi_hotchips_edge_npus.md
IS008,QNAP_ISSCC21,Dual-mode CNN with effective-weight convolution and error-compensation prediction,ISSCC,2021,sparsity,secondhand,not_tried,include_as_control,有效权卷积+误差补偿预测；条件执行硅片对照。,-,13_isscc_vlsi_hotchips_edge_npus.md
IS009,Keller_VLSI22_INT4,Per-vector scaled INT4 Transformer engine in 5nm,Symp. on VLSI,2022,attention,secondhand,not_tried,include_as_control,INT4 Transformer引擎；量化对照。,-,13_isscc_vlsi_hotchips_edge_npus.md
IS010,CogniVision,CogniVision always-on smart vision SoC,Symp. on VLSI,2024,circuit,secondhand,not_tried,deferred,always-on视觉；背景。,-,13_isscc_vlsi_hotchips_edge_npus.md
IS011,Alpha-Vision,Alpha-Vision always-on vision processor,ISSCC,2026,circuit,secondhand,not_tried,deferred,always-on视觉子系统；背景。,-,13_isscc_vlsi_hotchips_edge_npus.md
IS012,Eyeriss,Eyeriss row-stationary CNN accelerator,ISCA,2016,circuit,secondhand,not_tried,include_as_control,经典边缘数据流控制祖先。,-,13_isscc_vlsi_hotchips_edge_npus.md
IS013,Guo_stacked_CIS_EVS,Three-wafer-stacked hybrid 15MP CIS + 1MP EVS,ISSCC,2023,event,secondhand,not_tried,deferred,堆叠CIS+EVS传感器；禁止声称first hybrid DVS-CIS。,-,11_event_camera_stack_accelerators.md
IS014,Prophesee_Sony_EVS_ISSCC20,Prophesee/Sony 1280x720 event vision sensor,ISSCC,2020,event,secondhand,not_tried,include_as_control,事件传感器硅片基线。,-,11_event_camera_stack_accelerators.md
IS015,Cha_ISCAS25_DVS_CIS_NPU,Energy-Efficient Daily Surveillance with Event-based NPU Triggering,ISCAS,2025,event,secondhand,not_tried,deferred,DVS-CIS NPU触发；系统级融合背景。,-,11_event_camera_stack_accelerators.md
QT001,GOBO,GOBO outlier-aware 3-4bit weight quantization,MICRO,2020,other,html_arxiv,not_tried,include_as_control,异常值感知量化对照。,-,01_ann_sparsity_mechanisms.md
QT002,OliVe,OliVe outlier-victim pair quantization,ISCA,2023,other,html_arxiv,not_tried,include_as_control,异常值-牺牲对量化对照。,-,01_ann_sparsity_mechanisms.md
QT003,ANT,ANT adaptive numerical type,MICRO,2022,other,name_only,not_tried,deferred,自适应数值类型；次要。,全文,01_ann_sparsity_mechanisms.md
QT004,ControlVariate_DAC21,Control Variate Approximation for DNN Accelerators,DAC,2021,other,html_arxiv,not_tried,include_as_control,控制变量近似；条件执行/近似计算对照。,-,01_ann_sparsity_mechanisms.md
LX001,C1_Prosperity_fusion_G2G4,C1 input G2/G4 APEC + Prosperity residual fusion (same-workload),local_experiment,2026,sparsity,full_text,attempted_variant_failed,stop_this_variant,同负载：相对Prosperity多81.52%/16.44%；大缓存后仍多2.964%。停止该融合布局。失败布局≠APEC/Prosperity整类失败。,改变共同构造后再测,same_workload_c1c2_20260907/net_benefit.md|same_workload_c1c2_20260907/c1_attempt_r1/result.json
LX002,C2_static_common_mode_share,C2 static common-mode share on time-parallel baseline,local_experiment,2026,circuit,full_text,attempted_variant_failed,stop_this_variant,加法少8.96%但周期多0.23454%。停止该静态共享布局；不证明PSN完整A失败。,完整源打包/LoAS/BN2域,same_workload_c1c2_20260907/net_benefit.md|same_workload_c1c2_20260907/c2/functional_r4c/result.json
LX003,support_code_zero_response_X,Train W for input-code-correlated whole-word cancellation (zero-response X),local_proposal,2026,circuit,full_text,attempted_variant_failed,stop_as_title_claim,创新门停止：码展开one-hot后普通块稀疏L可跳过同一字；无区别于约束块剪枝的新求解。概念约4.5/10。完整LUT-DLA未迁完。,若提出区别于块剪枝的新训练结构可重开审查,hardware_innovation_20260908/bn_state/response_zero_one_page.md|hardware_innovation_20260908/README.md
LX004,PSN_stop_when_theta_g_determined_X,Stop computing U once theta_g issuance is determined,local_proposal,2026,circuit,full_text,attempted_variant_failed,stop_as_title_claim,可由严格上下界迁移；按完成次序CSE未超SPARK/USEFUSE+按位按需。保留PSN费用问题，停当前两种提法。,完整da4ml A + 指出可省的具体位宽/扇出/RF,hardware_innovation_20260908/psn/psn_decision_one_page.md
LX005,patch_continuous_check_vs_one_permit,Patch continuous completion check vs one-shot permit,local_experiment,2026,sparsity,full_text,attempted_variant_failed,stop_this_variant,持续检查比一次许可慢0.6274%；不能只报相对完整执行少6.89%。停止该控制版本创新扩展。,参考选择/缓存链/完整训练未实施，未冒写成失败,hardware_innovation_20260908/README.md|hardware_innovation_20260908/algorithm/patch_probe/partial_completion/README.md
LX006,patch_row34_temporal_structure,Patch public 3-col + 7-private-tail temporal structure (row34),local_experiment,2026,snn_flow,full_text,partial,stop_this_variant,结构可取消更多前驱Conv，但新增电路贡献薄(~5.5/10)。连续分组增量仅2.03%逻辑取权。停止作标题；精度底座保留。,改变空间P/混合Y-U/热权重用的完整链同预算,hardware_innovation_20260908/README.md|hardware_innovation_20260908/algorithm/patch_probe/dependency/
LX007,NR4_cost_training_variant,NR4 execution-cost training with shuffled-group control,local_experiment,2026,sparsity,full_text,attempted_variant_failed,stop_this_variant,匹配类别边际后真实组≤打乱组；该NR4费用训练版停止。,-,hardware_innovation_20260908/README.md|hardware_innovation_20260908/algorithm/nrv_cost_probe/README.md
LX008,class_vs_packed_time_path,Integer class path vs packed time path under strong NR4 controls,local_experiment,2026,snn_flow,full_text,attempted_variant_failed,stop_this_variant,弱对照14-20%优势在强分块+共同NR4后仅0.58%-1.70%；三原行下类别更慢。撤回贡献。F_live>1公平重测仍开放(P1-4)。,F_live>1同资源搜索,hardware_innovation_20260908/README.md|hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md
LX009,support_set_proj_share_T10_bound,Support-set output projection share / full-T10 strict suffix bound,local_experiment,2026,circuit,full_text,attempted_variant_failed,stop_this_variant,额外机会仅~1%-1.7%；两种具体形态停止。非整类条件执行否证。,-,hardware_innovation_20260908/README.md|hardware_innovation_20260908/psn/gustavsnn_hardware_direction.md
LX010,SVD_lowrank_PSN_gate,SVD prediction + PSN exact with norm-gate control,local_experiment,2026,circuit,full_text,attempted_variant_failed,stop_this_variant,补齐静态常量折叠后普通范数门控更快；停止该低秩版本。,-,hardware_innovation_20260908/README.md|hardware_innovation_20260908/psn/independent_review.md
LX011,fixed_BN_cal32_integer_S0,Fixed BN (cal32) + INT8 S0 integer deployment base,local_experiment,2026,snn_flow,full_text,used_as_control,include_as_control,通过AEE预算的数值底座（S0 INT8 AEE 1.201807）；量化/BN折叠/阈值编译不作标题创新。,联合固定全部BN范围,hardware_innovation_20260908/README.md|hardware_innovation_20260908/algorithm/valid825_cal32/summary.json|hardware_innovation_20260908/algorithm/integer_s0_valid825/summary.json
LX012,TermiNETor_DynConv_priors,TermiNETor joint termination training / DynConv precursor production mask,待核,0,sparsity,secondhand,not_tried,include_as_control,条件生产原文支持；不再作为新增原则包装。,venue核实,hardware_innovation_20260908/README.md|hardware_innovation_20260908/literature/patch_conditional_fusion_followup_20260908.md
LX013,BNFF_AVP_DavisArel,BNFF stats+consumer fusion / AVP moment propagation / Davis-Arel low-rank conditional compute,multiple,2019,other,secondhand,used_as_control,include_as_control,BN/低秩条件计算先验；独立评审引用。不作新标题。,-,hardware_innovation_20260908/README.md|hardware_innovation_20260908/psn/independent_review.md
LX014,HYTE_Buffets,HYTE + Buffets tiling/capacity/credit multicast,待核,0,circuit,secondhand,not_tried,include_as_control,AB_STACK A3；分块/容量/信用多播底座，不改变稀疏结构本身。,-,hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md
LX015,Flextron_nested_width,Flextron nested dynamic width routing,待核,0,sparsity,secondhand,not_tried,deferred,AB_STACK A7；共享源并集可能≈满宽。,-,hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md
