view_index,idea_ref,name,view_type,catalog_id,interface_family,family_name,coverage_state,original_A,original_B,original_X,concrete_family_execution,family_evidence,view_specific_remaining,remaining_executable_interface,next_batch,external_gap,execution_scope,stale_source_status,source,original_boundary
55,MAIN-R207,Best of Both Worlds,per_paper_fusion_hint,W0179,F19,任务backbone/数据/参考模型,任务对照；多数模型替换未试,事件前端脉冲编码 + 后端 ANN 可训性的混合分工——光流任务架构对照；硬复位 LIF 设定明确（借入≠X）。,全 ANN；全 SNN；深层先 spiking；显式 ConvRNN 加重参。,混合层类型≠结构化 lifting PSN X；不把混合当本地硬件标题。,SDformerFlow本地NB0已实际配对；其他模型名不代表当前学生已有对应实现,open_fusion_execution/accuracy_baseline/valid825_summary.json,混合在本地数据上不胜纯结构化 PSN/ANN 基线或破 AEE → 停该混合布局。 | 完整新网络重训与数字硬件划分未试。,明确新学生/数据需求后一次等预算对比，不能用不同任务FPS/AEE作硬件胜出,B8,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",光流算法对照；与 Adaptive-SpikeNet 成对读。不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,MVSEC/DSEC AEE 数字≠valid825 合同；混合网≠nts07；仅方法摘录窗口。
56,MAIN-R162,MatFormer,per_paper_fusion_hint,W0134,F04,物理源字删读/结构化剪枝,已实做局部；新训练布局未试,嵌套弹性子网 + 少粒度训练换多部署点——作「宽度/计算弹性」对照；与 shared-Q 消融不同（借入≠X）。,为每约束重训；NAS 后重训；联合优化过多子网导致更新不足（DynaBERT）。,套娃 FFN≠lifting 结构化时间因子 X；弹性推理≠same-port 净服务证明。,global/phase/row-phase源门剪枝、请求前地址生成、同mask/all_keep控制,open_fusion_execution/stage_20260912/hardware/mask_fusion_global_group2.json;open_fusion_execution/stage_20260912/hardware/mask_fusion_all_keep.json,嵌套子网同预算不胜独立窄稠密或破 AEE → 停该套娃布局。 | 原完整嵌套训练和混合宽度；与真实 SNN 光流误差及硬件预算对照,同预算窄稠密、2:4、VENOM/HiNM完整训练；真实物理字并集目标而非分支稀疏率,B3,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F1 减宽/窄稠密对照轴；条件。不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,LLM/ViT 部署弹性；Mix’n’Match 不自动给出硬件周期；仅方法摘录窗口。
57,MAIN-R218,TDE-3,per_paper_fusion_hint,W0190,F13,因果运动/事件唤醒与细节教师,未试目标唤醒；已有相邻帧机会,生物启发相关运动检测先验（方向选择+可训速度编码）——光流/运动旁路对照；ISI 训更省脉冲的观察（借入≠X）。,TDE-2（无抑制，纹理下方向选择性差）；无监督的手工调参 TDE。,TDE 先验≠lifting/r1 主岛 X；运动旁路有限份额，不排主岛。,只已有上一帧完成flow引导的支持统计；不是本视图的事件/TDE wake实现,motion/result.json;PRO_GROK_REVIEW_20260911.md,接入主网络后无净 AEE/服务收益或挤占主岛档期 → 停旁路，不杀主实验。 | 完整 TDE 前端与本网络联合训练未试。 || TDE-3+spikeformer残差datapath,原事件或过去完成预测构建wake，计预测/错过恢复；禁止当前/未来flow oracle,B5,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",旁路（motion）；明确不进 F1–F7 主线。不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,合成纹理/单检测器；非端到端网络硬件；仅方法摘录窗口（结构§2 可能在窗口外）。
58,MAIN-R158,NeuraLUT,per_paper_fusion_hint,W0130,F05,时间因子结构/常量编译/配对训练,已实做匹配训练、新825、局部执行及GPU halo,「电路级稀疏壳 + LUT 内藏稠密子网」共设计：高表达力落在布尔可综合函数里、层间仅暴露稀疏量化连边——可作 F1/F4「删暴露源字、保留隐藏计算」与浅电路延迟对照底座（借入≠X）。,LogicNets 线性神经元 L-LUT；PolyLUT 多项式 L-LUT；暴露 datapath 的 LUTNet/BNN；深电路级 DNN。,FPGA LUT 封装≠ lifting 结构化 T10/源字删字 X；差分须落到 r1 物理暴露端口与双 PED 损失，而非复述 L-LUT 子网。,保留旧RTL/35RNE/DFS；新三结构同父320步恢复/十帧/新常量公共RTL及matched局部六例CPU已执行；另同规则两项signed-PoT固定投影dense/lifting已做CPU门差和公共RTL，指数/cutoff/下游不变，量化新函数两臂十帧过NB0、四局部链及实际GPU整数端点匹配,open_fusion_execution/stage_20260912/hardware/rtl_source/schedule_controls.json;open_fusion_execution/breadth_20260912/algorithm/matched_training/run.json;open_fusion_execution/breadth_20260912/source_execution/;open_fusion_execution/breadth_20260912/hardware/matched_local_chain/;open_fusion_execution/breadth_20260912/algorithm/valid825/run.json;open_fusion_execution/breadth_20260912/source_constant_probe/summary.json,映射到源字后暴露端口/服务不降或破 AEE → 停该封装布局，保留 LUT 文献对照。 | 完整有限 fan-in 学生与端到端训练；真实连续 PSN 输入和 θ 幅值下的可综合逻辑费用,主三臂825/GPU halo、两项新函数diverse10及四halo已完成；真实I24全层/新参数完整下游、普通小RF同权交织、不同配对/PIT完整恢复仍开放,B3,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F1/F4 结构压缩与暴露面对照；旁路主岛。不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,MNIST/jet tagging FPGA 延迟≠本地 same-port 净服务；勿搬 1.3–4.3×；仅方法摘录窗口（训练超参/综合细节后半可能截断）。
59,MAIN-R204,Seneca synaptic-delay HW-aware training,per_paper_fusion_hint,W0176,F05,时间因子结构/常量编译/配对训练,已实做匹配训练、新825、局部执行及GPU halo,延迟时空展开→权值优化+剪枝的硬件感知训练；Shared Circular Delay Queue（双 FIFO 换缓冲）作稀疏事件延迟供数底座——时间依赖供数/生存期对照（借入≠X）。,无延迟浅网；每神经元 ring buffer（随神经元扩）；纯软件 RISC-V 仿真延迟；无剪枝的满延迟突触。,可学习突触延迟≠ lifting 结构化因子/半步图 X；本地主张在执行对象与消费者接口，不在延迟原语本身。,保留旧RTL/35RNE/DFS；新三结构同父320步恢复/十帧/新常量公共RTL及matched局部六例CPU已执行；另同规则两项signed-PoT固定投影dense/lifting已做CPU门差和公共RTL，指数/cutoff/下游不变，量化新函数两臂十帧过NB0、四局部链及实际GPU整数端点匹配,open_fusion_execution/stage_20260912/hardware/rtl_source/schedule_controls.json;open_fusion_execution/breadth_20260912/algorithm/matched_training/run.json;open_fusion_execution/breadth_20260912/source_execution/;open_fusion_execution/breadth_20260912/hardware/matched_local_chain/;open_fusion_execution/breadth_20260912/algorithm/valid825/run.json;open_fusion_execution/breadth_20260912/source_constant_probe/summary.json,延迟队列元数据/占用吃掉并集收益，或精度不胜无延迟结构化 PSN → 停该延迟布局。 | 新神经元训练与延迟队列代价未评。,主三臂825/GPU halo、两项新函数diverse10及四halo已完成；真实I24全层/新参数完整下游、普通小RF同权交织、不同配对/PIT完整恢复仍开放,B3,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F1/时间轴旁路对照；与 MAIN-R205 成对读。不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,SHD/Loihi/Seneca 能效≠ valid825 AEE/本地 VCS；延迟原语≠ T10 合同；仅方法摘录窗口。
60,MAIN-R093,SOFA,per_paper_fusion_hint,W0079,F06,精确证书/整组接受与回退,只停旧证书/旧早停布局,动态稀疏「预测→top-k→正式算」拆成可流水子阶段 + 前阶段排序信息引导后阶段（SU-FA）——作 F2 有损共同完成/跨阶段证书传递的工程对照（借入≠X）。,整行就绪才 top-k 的串行动态稀疏；无跨阶段引导的 FlashAttention2；各阶段独立优化无协同 tiling。,Transformer 注意力 top-k≠ r1 源字剪枝 X；差分须双 PED+lifting 源活动，而非抄 DLZS/SADS。,原9/11已做严格equal-a/水平P2分级余量；本轮独立复放同305760lane及38220SIMD8证书命中0，不计新接口，未停不同参考轴,PRO_GROK_REVIEW_20260911.md;open_fusion_execution/EXECUTION_QUEUE.md;open_fusion_execution/breadth_20260912/rounding_margin/results.json,预测阶段功耗/延迟≥正式收益，或迁到源字后净服务不降 → 停该跨阶段预测布局。 | 全文跨阶段依赖/压缩/布局与H67 PSN/BN消费边界。,新参考轴/可训裕度/连续消费者联合接受，比较应不先算原乘法；量化稳定不等于门正确,B5,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F2/F7 对照；第二队列。不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,LLM/注意力加速器 GOPS/W≠本地 finite_service；勿搬 9.5×/71.5×；仅方法摘录窗口（微架构后半截断）。
61,MAIN-R202,Xpikeformer,per_paper_fusion_hint,W0174,F15,注意力/残差算子替换或训练,未试此网络替换,脉冲注意力用随机比特流逻辑乘（SSA）+ 混合模拟存内/数字——作「注意力算子降算术强度」与混合数据通路对照底座（借入≠X）。,ANN softmax 注意力；逐步 LIF(QKᵀ)V 全数字；纯数字理想 ASIC 投影；无随机编码的重 MAC 注意力。,SSA/随机计算≠ lifting 结构化 T10 X；能量叙事不可写成 Stage B 净服务%。,原打分叶分析不等于SDSA/QKFormer/STSA/SLI等新网络恢复,open_fusion_execution/catalog/idea_views.csv,随机近似破 AEE/ΔAEE 或同分母不胜普通数字稀疏注意力 → 停该 SSA 布局。 | 数字化迁移代价及精度未测。,只替换一个固定block、同训练预算与原head比较；IAND不能无损删PED,B8,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F7 注意力算子旁路；明确不进主岛。不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,NLP/分类 spiking transformer；AIMC 工艺假设≠本地 RTL；勿搬 13×/1.8–1.9×；仅方法摘录窗口。
62,MAIN-R059,FireFly-S,per_paper_fusion_hint,W0047,F17,平台/混合引擎/CIM启发,未迁原平台；非直接独立idea,双端稀疏（权+脉冲）联合压缩 + Algo1 时序膜电位识别静默输出通道——可作 F1 共同删字/通道级结构剪枝与 Gustav 供数不规则性对照（借入≠X）。,仅权稀疏忽略脉冲端；overlay 反复片外访存；剪枝与量化分步+再训练；8–16b 无联合优化。,FireFly-S 双端稀疏≠标题 X；须落到 r1 源∩W 物理字与双 PED；与批01 错绑 FireFly→SCNN 区分。,个别数字叶可借；不存在本项目原宏/原工艺完整实现,exploration_tcasii_20260911/round4_wide/REPORT.md,通道剪后 AEE 破门或并集读仍满/服务不升 → 停该 FireFly-S 布局。 | 完整重连、双侧稀疏、量化训练与空间架构共同迁入；分清FPGA器件特化。 / 原文完整重连、双侧稀疏、量化及空间架构尚未一起迁移。,仅迁与器件无关的地址/调度/复用并另计数字成本；宏/PPA不能直接搬,B9,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F1/F7 强相关对照；Stage B 后可挂。不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,FPGA SNN 分类吞吐≠本地光流 AEE 合同；Algo1 通道剪枝细节摘录有截断；勿搬原作加速比。
63,MAIN-R200,SDformerFlow,per_paper_fusion_hint,W0172,F19,任务backbone/数据/参考模型,已实做本地NB0任务对照,事件光流上的 swin 时空注意力 + 全脉冲对照网——任务极相关的算法架构底座；与本地 nts07/结构化 PSN 并列的强任务对照（借入≠X）。,相关体积/迭代去模糊 ANN；卷积-only 光流；无时空窗的普通 spikeformer 分类网；帧聚合再 ANN。,SDformerFlow 精度/功耗叙事≠ lifting 硬件 X；本地差分在结构化执行对象与 same-port，不在换 backbone。,SDformerFlow本地NB0已实际配对；其他模型名不代表当前学生已有对应实现,open_fusion_execution/accuracy_baseline/valid825_summary.json,本地数据上不胜生产 nts07/结构化 PSN 或破 AEE → 停换骨干布局，不杀主实验。 | 未把完整网络闭成单一 RTL 顶层。 || -,明确新学生/数据需求后一次等预算对比，不能用不同任务FPS/AEE作硬件胜出,B8,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",光流算法对照（F7 注意力旁路）；明确不抢 Stage B 主实验。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,DSEC/MVSEC EPE≠ valid825 AEE 合同；开源训练码≠硬件分母；仅方法摘录窗口（网络超参细节截断）。
64,MAIN-R047,BBS / BitVert,per_paper_fusion_hint,W0035,F09,比特面/有符号位稀疏,只停旧串行布局,比特列级结构化稀疏（保证>50%）+ 免重训二进制剪枝 + bit-serial 执行——作 F1/F4「位宽/列取消」与量化后值稀疏失效问题的强对照（借入≠X）。,仅剪零比特的单向 bit-serial；值稀疏加速器（量化后稀疏≈0）；需重训的比特剪枝；Microscaling 浮点共享指数流水线。,BBS 比特列≠ r1 物理源字删字 X；差分须源活动+双 PED，而非搬 BitVert PE。,真实I24位字默认/校正在公共强MAC下慢4–5倍,open_fusion_execution/EXECUTION_QUEUE.md,迁到源字/系数后精度破门或服务不胜普通均匀量化/PoT → 停 BBS 布局。 | 原BitVert完整编码/位调度/面积/真实精度；先与缩位word-MAC和CSD常量阵列比。 / Rounded Averaging/Zero-point Shifting/编码与阵列的完整借鉴；真实连续乘法挂点、同 word-MAC/CSD 资源和精度控制 || -,相同位宽/面积的bit-PE、低校正密度训练；原BitVert/LoAS完整内核未迁,B7,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F1/F4/F6（取消列）对照；Stage B 后可挂量化-稀疏轴。不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,七个 DNN 分类/检测；bit-serial≠本地 MAC 阵列假设；勿搬 3.03×/2.44×；仅方法摘录窗口。
65,MAIN-R149,FLARE / BitSift,per_paper_fusion_hint,W0121,F09,比特面/有符号位稀疏,只停旧串行布局,比特级跳零 GEMV + 模拟存内低精度 ADC 误差韧性——普通压缩/近似计算对照；「细粒度稀疏>>粗粒度」实证模板（借入≠X）。,高 ENOB ADC 脆弱传感裕量；值级稀疏 GEMV；含 FP 的 PTQ 流水；无比特解析的稠密模拟阵列。,AMS-PiM/BitSift≠ lifting X；模拟误差模型不可写成 Stage B 数字净服务。,真实I24位字默认/校正在公共强MAC下慢4–5倍,open_fusion_execution/EXECUTION_QUEUE.md,误差韧性不足破 AEE，或数字同分母无增益 → 停该 BitSift/ADC 布局。 | 仅可比较的数字部分位编码；完整模拟器件/ADC 路线不在当前授权主线,相同位宽/面积的bit-PE、低校正密度训练；原BitVert/LoAS完整内核未迁,B7,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",普通压缩/近似旁路（F7）；不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,Transformer AMS-PiM 预印本；工艺/ADC 假设≠本地数字 RTL；仅方法摘录窗口。
66,MAIN-R178,Control Variate approx-multiplier,per_paper_fusion_hint,W0150,F06,精确证书/整组接受与回退,只停旧证书/旧早停布局,高近似乘法 + 控制变量纠偏（压均值/方差）——作 F2/F4「有损算子 + 轻量证书/校正」的算法底座（借入≠X）。,精确乘；无校正的盲目近似乘；运行时精确误差估计（截断乘昂贵）；仅降 bitwidth 无结构近似。,近似乘校正≠ lifting 半步检查点 X；只有挂到 RNE/末5 证书且同分母才可能谈差分。,原9/11已做严格equal-a/水平P2分级余量；本轮独立复放同305760lane及38220SIMD8证书命中0，不计新接口，未停不同参考轴,PRO_GROK_REVIEW_20260911.md;open_fusion_execution/EXECUTION_QUEUE.md;open_fusion_execution/breadth_20260912/rounding_margin/results.json,校正后仍不胜静态窄层/精确乘同资源，或破 AEE → 停该近似乘布局。 | 完整近似乘法器/补偿及位宽；真实连续 PSN 阈值与端到端 AEE,新参考轴/可训裕度/连续消费者联合接受，比较应不先算原乘法；量化稳定不等于门正确,B5,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F2/F4 备选对照；第二队列。不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,CNN 推理近似乘；摘录偏公式推导；勿搬准确率表；仅方法摘录窗口。
67,MAIN-R063,SMAM / Spike-Driven Transformer HW,per_paper_fusion_hint,W0051,F14,Motion-XOR/二值注意力精确跳过,已实做部分；身份/完整范围待补,把脉冲计算改成位置编码+地址比较以旁路零——双稀疏输入（SDSA）友好的执行编码底座；可作 Gustav/lifting 非零源字供数对照（借入≠X）。,稠密 MAC 注意力/线性；只优化卷积脉冲、忽略 SDSA 双输入；叠加式通用 SNN 加速器。,地址比较消零≠标题 X；须证明对 lifting 源活动降 same-port 周期且过 AEE。,旧ep35 QK census、MX3P叶/脏行/K零机会，不能迁为当前R24网络周期,open_fusion_execution/catalog/idea_views.csv;PRO_GROK_REVIEW_20260911.md,编码/比较开销≥稀疏收益或精度门失败 → 停该 SMAM 布局。 | 完整SMAM编码/数据流及对Motion-XOR的真实新增算术，保留θg消费者。 / 对真实 θg、gate×K 多位路径的完整配置未实现。,匹配检查点的行内memo、三pop独立门控、K零只停输出乘积且保留分母,B7,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F2/F4/F7 数据通路对照；旁路主岛排程。不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,Cifar-10 Spike-driven Transformer FPGA≠光流 valid825；勿搬 13.24×/1.33×；仅方法摘录窗口。
68,MAIN-R220,Precise-event-timing egomotion,per_paper_fusion_hint,W0192,F13,因果运动/事件唤醒与细节教师,未试目标唤醒；已有相邻帧机会,保留事件精确时序的 egomotion 流水（时序→局部速度脉冲）——运动旁路/事件合同对照；反衬「聚帧再 ANN」损失（借入≠X）。,均匀时间窗聚帧+CNN/ANN VO；纯轮速/IMU；忽略亚毫秒时序的 LIF 特征。,Egomotion 旁路≠ r1 lifting 主岛 X；有限份额，不排 Stage B。,只已有上一帧完成flow引导的支持统计；不是本视图的事件/TDE wake实现,motion/result.json;PRO_GROK_REVIEW_20260911.md,接入主网无净 AEE/服务或挤占主岛档期 → 停旁路，不杀主实验。 | 本网络可用输入/输出接口未验证。,原事件或过去完成预测构建wake，计预测/错过恢复；禁止当前/未来flow oracle,B5,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",旁路（motion）；明确不进 F1–F7 主线。不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,专用芯片 egomotion；非端到端光流生产网；仅方法摘录窗口（结构细节不全）。
69,MAIN-R205,Efficient synaptic-delay implementation,per_paper_fusion_hint,W0177,F05,时间因子结构/常量编译/配对训练,已实做匹配训练、新825、局部执行及GPU halo,共享延迟队列出口的「权有用」零跳转发（WVU）——把稀疏权信息前移到延迟供数路径，减少无效排队（借入≠X）。,延迟出队后再查零权；无 WVU 的满流量 SCDQ；per-neuron ring buffer；纯软件延迟。,WVU 零跳≠ lifting 源字删字 X；可作供数路径「早停」工程对照，不作标题。,保留旧RTL/35RNE/DFS；新三结构同父320步恢复/十帧/新常量公共RTL及matched局部六例CPU已执行；另同规则两项signed-PoT固定投影dense/lifting已做CPU门差和公共RTL，指数/cutoff/下游不变，量化新函数两臂十帧过NB0、四局部链及实际GPU整数端点匹配,open_fusion_execution/stage_20260912/hardware/rtl_source/schedule_controls.json;open_fusion_execution/breadth_20260912/algorithm/matched_training/run.json;open_fusion_execution/breadth_20260912/source_execution/;open_fusion_execution/breadth_20260912/hardware/matched_local_chain/;open_fusion_execution/breadth_20260912/algorithm/valid825/run.json;open_fusion_execution/breadth_20260912/source_constant_probe/summary.json,WVU 存储/查表吃掉稀疏收益 → 停该零跳转发布局。 | 完整延迟实现与本任务适配未试。,主三臂825/GPU halo、两项新函数diverse10及四halo已完成；真实I24全层/新参数完整下游、普通小RF同权交织、不同配对/PIT完整恢复仍开放,B3,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F1/供数路径对照；与 MAIN-R204 成对。不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,Seneca 多核事件加速器；WVU 矩阵假设≠本地源∩W 编码；仅方法摘录窗口。
70,MAIN-R199,MFPSN,per_paper_fusion_hint,W0171,F05,时间因子结构/常量编译/配对训练,已实做匹配训练、新825、局部执行及GPU halo,通道独立 PSN + 锯齿膨胀感受野 + PoT/移位无乘法动力学——与本地结构化 T10/lifting PSN 直接相关的神经元谱系强对照（借入并行/PoT≠X）。,通道共享 sliding PSN；固定膨胀有网格效应；满阶可学习 W∈R^{T×T}；含乘法的浮点充电。,MFPSN/channel-wise/PoT≠本地 lifting 结构化因子图 X；本地主张在结构化执行对象与消费者接口。,保留旧RTL/35RNE/DFS；新三结构同父320步恢复/十帧/新常量公共RTL及matched局部六例CPU已执行；另同规则两项signed-PoT固定投影dense/lifting已做CPU门差和公共RTL，指数/cutoff/下游不变，量化新函数两臂十帧过NB0、四局部链及实际GPU整数端点匹配,open_fusion_execution/stage_20260912/hardware/rtl_source/schedule_controls.json;open_fusion_execution/breadth_20260912/algorithm/matched_training/run.json;open_fusion_execution/breadth_20260912/source_execution/;open_fusion_execution/breadth_20260912/hardware/matched_local_chain/;open_fusion_execution/breadth_20260912/algorithm/valid825/run.json;open_fusion_execution/breadth_20260912/source_constant_probe/summary.json,仅换 MFPSN/PoT 而无 lifting 结构，相对 ordinary 无净服务/精度门 → 停「当标题」，保留对照。 | 完整端到端任务训练、原初始化和恢复日程尚未复现。 || 完整训练到本网valid825,主三臂825/GPU halo、两项新函数diverse10及四halo已完成；真实I24全层/新参数完整下游、普通小RF同权交织、不同配对/PIT完整恢复仍开放,B3,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",直接支撑 PSN/lifting 主岛理解（算法先验）；Stage B 用 ordinary 对照时本族为强控制。不抢 Stage B 排程。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,原作任务/实现（CUDA 等）≠ θg/非因果 T10 合同；不得把无乘法写成净服务%；仅方法摘录窗口。
71,MAIN-R001,Prosperity,per_paper_fusion_hint,W0001,F03,重复/包含关系/有限公共部分和,只停旧布局,Product Sparsity（行间公共二进制子组合只算一次再复用）+ 运行时识别/调度流水线——作「多消费者共享部分和/模式复用」强底座与 F3 联合图对照（借入≠X；本地已有 Prosperity 探针负结果边界）。,仅 bit-sparsity 零跳过（PTB/Stellar 式）；稠密 Spiking GeMM；无执行序优化的朴素行扫描。,ProSparsity/部分和复用本身非本地标题级 X；差分须落到 lifting 源 DAG 上的公共虚节点/部分 lane（F3），而非再扫整 W 产品 mask 或复述 0.09% 级 mask 目标。,M20/K16/H8完整K864的TCAM/列流与当前融合已测，元数据税抵消算术收益,open_fusion_execution/EXECUTION_QUEUE.md,挂到 lifting 源 DAG 后同端口计划服务不优于 da4ml CSE+普通部分 lane，或相对无图端点净省过薄 → 停该联合图布局，保留家族。 | 完整Detector/Pruner/Dispatcher/Processor双缓冲与内外tiling、attention/neuron/SFU统一硬件链；原版256×16×128与本地64×16×96公平资源对齐。九宏是同地址宽度slice，不是九个独立bank。 || 改变共同构造/散播/残差共享后再测；非当前布局复活,固定lifting子图的受限匹配、跨K有限父值生命周期；完整Prosperity/Phi/ExSpike不是旧融合结果,B6,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F1/F3/F7 相关；第二队列底座。不抢 Stage B（Stage B 仍是无 Prosperity 的 pure schedule compare）。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,勿搬 7.4×/193× 等原作 PPA；摘录未含完整架构§细部；本地 G4/产品费用负结果只停已列布局，不杀家族；仅方法摘录窗口。
72,MAIN-R212,SpiLiFormer,per_paper_fusion_hint,W0184,F15,注意力/残差算子替换或训练,未试此网络替换,侧抑制差分注意力（兴奋−抑制）作 token 级 mask + 反馈通路二次前传——可作注意力路径活动整形与「有损共同完成/跳过冗余阶段」算法先验（借入≠X）。,标准 SSA/无抑制的 QKV；单前传无反馈；无 token mask 的全量注意力。,侧抑制/双前传≠ lifting 结构化 T10/源字删字 X；本地差分在 r1 消费者接口与并集费用，不在 ImageNet 注意力热图。,原打分叶分析不等于SDSA/QKFormer/STSA/SLI等新网络恢复,open_fusion_execution/catalog/idea_views.csv,token mask 不能落到物理源字/门服务下降或破 AEE → 停该注意力整形布局，保留文献对照。 | 本任务训练和完整消费者成本未试。,只替换一个固定block、同训练预算与原head比较；IAND不能无损删PED,B8,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F2/F7 弱相关（token mask/反馈跳过 Stage1–2 冗余）；旁路主岛。不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,分类精度/mJ 表≠本地 same-port 净服务；双前传训练成本勿写成推理省；仅方法摘录窗口。
