record_ref,source_file,name,full_title,venue,entity_type,category,links,reading,reading_level,attempt,reason,untried,evidence,priority,A,B,X,cards
OS2-004,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,v2e,v2e: From Video Frames to Realistic DVS Events,open-source,open_source,开源实现/仓库,https://github.com/SensorsINI/v2e,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-005,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,rpg_e2vid,Events-to-Video: Bringing Modern Computer Vision to Event Cameras,open-source,open_source,开源实现/仓库,https://github.com/uzh-rpg/rpg_e2vid,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-006,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,spikingjelly,SpikingJelly SNN framework,open-source,open_source,开源实现/仓库,https://github.com/fangwei123456/spikingjelly,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-007,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,snntorch,snnTorch,open-source,open_source,开源实现/仓库,https://github.com/jeshraghian/snntorch,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-008,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,lava,Intel Lava,open-source,open_source,开源实现/仓库,https://github.com/lava-nc/lava,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-009,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,norse,Norse SNN,open-source,open_source,开源实现/仓库,https://github.com/norse/norse,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-010,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,bindsnet,BindsNET,open-source,open_source,开源实现/仓库,https://github.com/BindsNET/bindsnet,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-011,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,sinabs,Sinabs / SynSense SNN toolkit,open-source,open_source,开源实现/仓库,https://github.com/synsense/sinabs,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-012,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,nir,Neuromorphic Intermediate Representation,open-source,open_source,开源实现/仓库,https://github.com/neuromorphs/NIR,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-013,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,sparseml,SparseML / Neural Magic sparse training toolkit,open-source,open_source,开源实现/仓库,https://github.com/neuralmagic/sparseml,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-014,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,sparsity,PyTorch sparsity / ao sparsity tooling family,open-source,open_source,开源实现/仓库,https://github.com/pytorch/ao,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-015,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,DeepCompression-arxiv,Deep Compression related open reproductions family,open-source,open_source,开源实现/仓库,,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-016,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,CUTLASS,NVIDIA CUTLASS sparse/dense GEMM building blocks,open-source,open_source,开源实现/仓库,https://github.com/NVIDIA/cutlass,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-017,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,SparseDNN-accel-survey-repos,Curated sparse DNN accelerator open RTL/sim family (SCNN/Eyeriss-style mirrors),open-source,open_source,开源实现/仓库,,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-018,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,OpenRAM,OpenRAM memory compiler,open-source,open_source,开源实现/仓库,https://github.com/VLSIDA/OpenRAM,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-019,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,OpenROAD,OpenROAD,open-source,open_source,开源实现/仓库,https://github.com/The-OpenROAD-Project/OpenROAD,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-020,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,OpenLane,OpenLane ASIC flow,open-source,open_source,开源实现/仓库,https://github.com/The-OpenROAD-Project/OpenLane,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-021,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Vitis-AI,Xilinx/AMD Vitis AI sparse/quantize toolchains,open-source,open_source,开源实现/仓库,https://github.com/Xilinx/Vitis-AI,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-022,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,finn,FINN dataflow compiler for quantized NNs on FPGA,open-source,open_source,开源实现/仓库,https://github.com/Xilinx/finn,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-023,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,hls4ml,hls4ml,open-source,open_source,开源实现/仓库,https://github.com/fastmachinelearning/hls4ml,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-024,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,verilator,Verilator open-source simulator (local C2/LoAS use),open-source,open_source,开源实现/仓库,https://github.com/verilator/verilator,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-025,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,FireSim,FireSim FPGA-accelerated hardware simulation,open-source,open_source,开源实现/仓库,https://github.com/firesim/firesim,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-026,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Chipyard,Chipyard SoC generators,open-source,open_source,开源实现/仓库,https://github.com/ucb-bar/chipyard,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-027,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Gemmini,Gemmini systolic array generator,open-source,open_source,开源实现/仓库,https://github.com/ucb-bar/gemmini,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-028,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,NVDLA,NVDLA open accelerator,open-source,open_source,开源实现/仓库,https://github.com/nvdla/hw,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-029,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Scale-Sim,SCALE-Sim systolic simulator,open-source,open_source,开源实现/仓库,https://github.com/scalesim-project/scale-sim-v2,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-030,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Timeloop,Timeloop/Accelergy,open-source,open_source,开源实现/仓库,https://github.com/NVlabs/timeloop,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-031,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Accelergy,Accelergy energy estimation,open-source,open_source,开源实现/仓库,https://github.com/Accelergy-Project/accelergy,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-032,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,ZigZag,ZigZag DNN accelerator architecture exploration,open-source,open_source,开源实现/仓库,https://github.com/KULeuven-MICAS/zigzag,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-033,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,MAESTRO,MAESTRO dataflow analyzer,open-source,open_source,开源实现/仓库,https://github.com/maestro-project/maestro,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-034,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,SPARSEBACKBONE-OF,Sparse/event optical-flow training codebases family (Spike-FlowNet etc.),open-source,open_source,开源实现/仓库,,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-035,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,BitNet-style,BitNet / 1-bit LLM related open stacks (control for bit-serial priors),open-source,open_source,开源实现/仓库,https://github.com/microsoft/BitNet,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-036,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,GPT-Q/AWQ family,AWQ/GPTQ quantization open implementations (strong controls),open-source,open_source,开源实现/仓库,https://github.com/mit-han-lab/llm-awq,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-037,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,SmoothQuant,SmoothQuant,open-source,open_source,开源实现/仓库,https://github.com/mit-han-lab/smoothquant,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-038,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,SparseGPT,SparseGPT,open-source,open_source,开源实现/仓库,https://github.com/IST-DASLab/SparseGPT,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-039,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Wanda,Wanda pruning,open-source,open_source,开源实现/仓库,https://github.com/locuslab/wanda,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-040,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,2:4-sparse-stack,NVIDIA 2:4 sparse training examples / apex related,open-source,open_source,开源实现/仓库,https://github.com/NVIDIA/apex,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-041,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,FlexGen,FlexGen offloading (memory schedule control),open-source,open_source,开源实现/仓库,https://github.com/FMInference/FlexGen,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
OS2-042,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,vLLM,vLLM paged attention serving (schedule/backpressure analogy control),open-source,open_source,开源实现/仓库,https://github.com/vllm-project/vllm,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-043,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,FlashAttention,FlashAttention,open-source,open_source,开源实现/仓库,https://github.com/Dao-AILab/flash-attention,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-044,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,xformers,xformers memory-efficient attention,open-source,open_source,开源实现/仓库,https://github.com/facebookresearch/xformers,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-045,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,DeepSpeed,DeepSpeed sparsity/compression features,open-source,open_source,开源实现/仓库,https://github.com/microsoft/DeepSpeed,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P0_high_rel,,,,
OS2-046,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Megatron-LM,Megatron-LM,open-source,open_source,开源实现/仓库,https://github.com/NVIDIA/Megatron-LM,本轮开源仓盘点（README/生态定位），非论文全文精读 || open_source_inventory || new_this_round,,开源盘点；可复现加速器/SNN/光流/稀疏执行相关,补开源实现维度至可复现工具链,,,P1_mid_rel,,,,
ARX-001,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Aquatic Neuromorphic Optical Flow,Aquatic Neuromorphic Optical Flow,arXiv 2026,paper,arXiv增量|all:spiking AND all:optical AND all:flow,https://arxiv.org/abs/2605.07653v2,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Underwater environments impose severe constraints on conventional imaging systems and demand solutions that balance high-quality sensing with strict resource efficiency. While emerging event cameras offer a promising alternative, their potential in aquatic scenarios remains largely unexplored. Through the lens of neuromorphic vision, this work pioneers the investigation of motion fields that serve",,P0_high_rel,,,,
ARX-002,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Unbiased Gradient Estimation for Event Binning via Functional Backpropagation,Unbiased Gradient Estimation for Event Binning via Functional Backpropagation,arXiv 2026,paper,arXiv增量|all:spiking AND all:optical AND all:flow,https://arxiv.org/abs/2602.12590v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Event-based vision encodes dynamic scenes as asynchronous spatio-temporal spikes called events. To leverage conventional image processing pipelines, events are typically binned into frames. However, binning functions are discontinuous, which truncates gradients at the frame level and forces most event-based algorithms to rely solely on frame-based features. Attempts to directly learn from raw even",,P0_high_rel,,,,
ARX-003,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Benchmarking Microsaccade Recognition with Event Cameras: A Novel Dataset and Ev,Benchmarking Microsaccade Recognition with Event Cameras: A Novel Dataset and Evaluation,arXiv 2025,paper,arXiv增量|all:spiking AND all:optical AND all:flow,https://arxiv.org/abs/2510.24231v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Microsaccades are small, involuntary eye movements vital for visual perception and neural processing. Traditional microsaccade studies typically use eye trackers or frame-based analysis, which, while precise, are costly and limited in scalability and temporal resolution. Event-based sensing offers a high-speed, low-latency alternative by capturing fine-grained spatiotemporal changes efficiently. T",,P0_high_rel,,,,
ARX-004,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Context-aware Sparse Spatiotemporal Learning for Event-based Vision,Context-aware Sparse Spatiotemporal Learning for Event-based Vision,arXiv 2025,paper,arXiv增量|all:spiking AND all:optical AND all:flow,https://arxiv.org/abs/2508.19806v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Event-based camera has emerged as a promising paradigm for robot perception, offering advantages with high temporal resolution, high dynamic range, and robustness to motion blur. However, existing deep learning-based event processing methods often fail to fully leverage the sparse nature of event data, complicating their integration into resource-constrained edge applications. While neuromorphic c",,P0_high_rel,,,,
ARX-005,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Inference-Time Gaze Refinement for Micro-Expression Recognition: Enhancing Event,Inference-Time Gaze Refinement for Micro-Expression Recognition: Enhancing Event-Based Eye Tracking with Motion-Aware Post-Processing,arXiv 2025,paper,arXiv增量|all:spiking AND all:optical AND all:flow,https://arxiv.org/abs/2506.12524v3,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Event-based eye tracking holds significant promise for fine-grained cognitive state inference, offering high temporal resolution and robustness to motion artifacts, critical features for decoding subtle mental states such as attention, confusion, or fatigue. In this work, we introduce a model-agnostic, inference-time refinement framework designed to enhance the output of existing event-based gaze ",,P0_high_rel,,,,
ARX-006,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,A VCSEL based Photonic Neuromorphic Processor for Event-Based Imaging Flow Cytom,A VCSEL based Photonic Neuromorphic Processor for Event-Based Imaging Flow Cytometry Applications,arXiv 2025,paper,arXiv增量|all:spiking AND all:optical AND all:flow,https://arxiv.org/abs/2505.12026v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,This work presents an optical neuromorphic imaging and processing cytometry system that integrates an excitable VCSEL-based time-delayed (TD) extreme learning machine with an event-based 2D camera. The proposed system is designed for the classification of Polymethyl Methacrylate (PMMA) particles of varying diameters moving at speeds between 0.01 and 0.1 m/s. The TD photonic scheme achieved a class,,P2_low_mid,,,,
ARX-007,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Neural Ganglion Sensors: Learning Task-specific Event Cameras Inspired by the Ne,Neural Ganglion Sensors: Learning Task-specific Event Cameras Inspired by the Neural Circuit of the Human Retina,arXiv 2025,paper,arXiv增量|all:spiking AND all:optical AND all:flow,https://arxiv.org/abs/2504.13457v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Inspired by the data-efficient spiking mechanism of neurons in the human eye, event cameras were created to achieve high temporal resolution with minimal power and bandwidth requirements by emitting asynchronous, per-pixel intensity changes rather than conventional fixed-frame rate images. Unlike retinal ganglion cells (RGCs) in the human eye, however, which integrate signals from multiple photore",,P0_high_rel,,,,
ARX-008,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,UCF-Crime-DVS: A Novel Event-Based Dataset for Video Anomaly Detection with Spik,UCF-Crime-DVS: A Novel Event-Based Dataset for Video Anomaly Detection with Spiking Neural Networks,arXiv 2025,paper,arXiv增量|all:spiking AND all:optical AND all:flow,https://arxiv.org/abs/2503.12905v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Video anomaly detection plays a significant role in intelligent surveillance systems. To enhance model's anomaly recognition ability, previous works have typically involved RGB, optical flow, and text features. Recently, dynamic vision sensors (DVS) have emerged as a promising technology, which capture visual information as discrete events with a very high dynamic range and temporal resolution. It",,P0_high_rel,,,,
ARX-009,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,ST-FlowNet: An Efficient Spiking Neural Network for Event-Based Optical Flow Est,ST-FlowNet: An Efficient Spiking Neural Network for Event-Based Optical Flow Estimation,arXiv 2025,paper,arXiv增量|all:spiking AND all:optical AND all:flow,https://arxiv.org/abs/2503.10195v2,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Spiking Neural Networks (SNNs) have emerged as a promising tool for event-based optical flow estimation tasks due to their ability to leverage spatio-temporal information and low-power capabilities. However, the performance of SNN models is often constrained, limiting their application in real-world scenarios. In this work, we address this gap by proposing a novel neural network architecture, ST-F",,P0_high_rel,,,,
ARX-010,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,eCARLA-scenes: A synthetically generated dataset for event-based optical flow pr,eCARLA-scenes: A synthetically generated dataset for event-based optical flow prediction,arXiv 2024,paper,arXiv增量|all:spiking AND all:optical AND all:flow,https://arxiv.org/abs/2412.09209v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"The joint use of event-based vision and Spiking Neural Networks (SNNs) is expected to have a large impact in robotics in the near future, in tasks such as, visual odometry and obstacle avoidance. While researchers have used real-world event datasets for optical flow prediction (mostly captured with Unmanned Aerial Vehicles (UAVs)), these datasets are limited in diversity, scalability, and are chal",,P0_high_rel,,,,
ARX-011,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,TSkips: Efficiency Through Explicit Temporal Delay Connections in Spiking Neural,TSkips: Efficiency Through Explicit Temporal Delay Connections in Spiking Neural Networks,arXiv 2024,paper,arXiv增量|all:spiking AND all:optical AND all:flow,https://arxiv.org/abs/2411.16711v2,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Spiking Neural Networks (SNNs) with their bio-inspired Leaky Integrate-and-Fire (LIF) neurons inherently capture temporal information. This makes them well-suited for sequential tasks like processing event-based data from Dynamic Vision Sensors (DVS) and event-based speech tasks. Harnessing the temporal capabilities of SNNs requires mitigating vanishing spikes during training, capturing spatio-tem",,P0_high_rel,,,,
ARX-012,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Event-based vision on FPGAs -- a survey,Event-based vision on FPGAs -- a survey,arXiv 2024,paper,arXiv增量|all:spiking AND all:optical AND all:flow,https://arxiv.org/abs/2407.08356v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"In recent years there has been a growing interest in event cameras, i.e. vision sensors that record changes in illumination independently for each pixel. This type of operation ensures that acquisition is possible in very adverse lighting conditions, both in low light and high dynamic range, and reduces average power consumption. In addition, the independent operation of each pixel results in low ",,P0_high_rel,,,,
ARX-013,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,SCSim: A Realistic Spike Cameras Simulator,SCSim: A Realistic Spike Cameras Simulator,arXiv 2024,paper,arXiv增量|all:spiking AND all:optical AND all:flow,https://arxiv.org/abs/2405.16790v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Spike cameras, with their exceptional temporal resolution, are revolutionizing high-speed visual applications. Large-scale synthetic datasets have significantly accelerated the development of these cameras, particularly in reconstruction and optical flow. However, current synthetic datasets for spike cameras lack sophistication. Addressing this gap, we introduce SCSim, a novel and more realistic s",,P0_high_rel,,,,
