idea_ref,name,view_type,catalog_id,A,B,X,status,boundary,next_or_stop,source,detail
MAIN-R013,ELSA (SNN 2026),per_paper_fusion_hint,W0013,弹性推理（权/膜驻留片上）+ spine/token 级流水提高弹性加速器面积效率——与 F5 生存期/驻留及 Gustav 供数叙事同族对照（借入≠X）。,非弹性（权流式、膜换出）高面积效率但欠灵活；无 spine/token 流水的弹性基线。,ELSA 弹性流水≠ lifting 因子对齐打包 X（F7）；Stage B 先用未对齐部件作分母。,F5/F7 相关；Stage B 后可挂。不抢 Stage B。,对比表 TOPS/W 勿搬；弹性定义以摘录为准；全文 382k 字仅窗口；仅方法摘录窗口。,对齐/弹性改造后物理服务不优于同 Gustav+ordinary 序 → 停该弹性挂载布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,spine/token 流水作细粒度弹性调度模板 | 片上权+膜驻留↔有限 RF 周转（F5） | 与 Prosperity/Phi 同表阅读定位 | mini-batch/Gustavson 依赖线索待补全文核
MAIN-R221,EventShiftFlow,per_paper_fusion_hint,W0193,硬件友好的事件光流移位 datapath（确定性、低存储）——同任务域（光流）的非学习/轻量基线对照（借入≠X）。,迭代优化/平面拟合重算法；需帧重建的 DNN 光流；高资源 FPGA 光流。,经典移位光流≠ SNN Transformer+lifting 标题 X；可作任务域弱基线，不进主岛新颖性。,旁路（同任务非 SNN 基线）。不抢 Stage B。,合成/真实速度误差≠AEE 合同口径；FPGA LUT/BRAM 勿写成 Stage B%；仅方法摘录窗口。,对主岛主张无差分贡献 → 保持旁路基线，不进 A+B 标题。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,无 FP/无迭代作「可综合光流核」下界 | <2kB 存储作极端 SWaP 对照 | 密度相关参数作鲁棒性旋钮 | 与本地学习式光流 SNN 并读时只作任务基线
MAIN-R012,Gustavson algorithm,per_paper_fusion_hint,W0012,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R032,Eyeriss (row stationary),per_paper_fusion_hint,W0025,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R053,ANT,per_paper_fusion_hint,W0041,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R054,SpinalFlow,per_paper_fusion_hint,W0042,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R055,SATO,per_paper_fusion_hint,W0043,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R056,STELLAR,per_paper_fusion_hint,W0044,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R065,Configurable CSA for Spiking Transformers,per_paper_fusion_hint,W0053,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R066,ESSA,per_paper_fusion_hint,W0054,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R068,COMPASS,per_paper_fusion_hint,W0056,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R076,ELSA (attention 2021),per_paper_fusion_hint,W0062,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R124,QP-SNN,per_paper_fusion_hint,W0096,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R136,CompRRAE,per_paper_fusion_hint,W0108,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R139,DPES,per_paper_fusion_hint,W0111,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R179,MACISH,per_paper_fusion_hint,W0151,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R260,EEMFlow,per_paper_fusion_hint,W0232,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R267,SNNIM,per_paper_fusion_hint,W0239,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R279,Cha DVS/CIS NPU trigger,per_paper_fusion_hint,W0251,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R281,NullHop,per_paper_fusion_hint,W0253,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R282,DVS + NullHop demonstration,per_paper_fusion_hint,W0254,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R283,Lele fused frame-event optical flow,per_paper_fusion_hint,W0255,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R285,Spike-CIM,per_paper_fusion_hint,W0257,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R286,TFSRAM,per_paper_fusion_hint,W0258,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R290,ASNA-Flow,per_paper_fusion_hint,W0262,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R291,ERAFT FPGA,per_paper_fusion_hint,W0263,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R292,FlowAcc,per_paper_fusion_hint,W0264,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R293,Liu optical-flow FPGA TCAS-I 2025,per_paper_fusion_hint,W0265,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R294,Optical flow tracking FPGA,per_paper_fusion_hint,W0266,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R295,FPGA plane-fitting event optical flow,per_paper_fusion_hint,W0267,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R297,Neuro-CIM JSSC extension,per_paper_fusion_hint,W0269,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R298,Clock-free multilevel-event SNN,per_paper_fusion_hint,W0270,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R315,VideoFlow,per_paper_fusion_hint,W0287,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R327,Tu Bitline-Transpose CIM Transformer,per_paper_fusion_hint,W0299,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R328,C-Transformer,per_paper_fusion_hint,W0300,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R332,Keller Per-Vector INT4,per_paper_fusion_hint,W0304,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R358,Eyeriss chip,per_paper_fusion_hint,W0330,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-OF003,TCAS-I_2025_adaptive_OF,per_paper_fusion_hint,W0331,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-OF008,TDE-3,per_paper_fusion_hint,W0190,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-OF009,SDformerFlow,per_paper_fusion_hint,W0172,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-OF011,Spike-FlowNet,per_paper_fusion_hint,W0201,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-OF012,ASNA-Flow,per_paper_fusion_hint,W0262,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-OF014,Ultra-Flow,per_paper_fusion_hint,W0335,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-SN002,Quantized_SpikeDriven_Transformer,per_paper_fusion_hint,W0339,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-SN005,SpinalFlow,per_paper_fusion_hint,W0042,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-SN007,STELLAR,per_paper_fusion_hint,W0044,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-SN008,FireFly,per_paper_fusion_hint,W0045,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-SN009,FireFly-T,per_paper_fusion_hint,W0341,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-SN010,ESSA,per_paper_fusion_hint,W0342,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-SN011,COMPASS,per_paper_fusion_hint,W0056,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-SN012,Bishop,per_paper_fusion_hint,W0050,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-SN014,Xpikeformer,per_paper_fusion_hint,W0343,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-SN015,SPARTA,per_paper_fusion_hint,W0344,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-SN017,Parallel_Time_Batching,per_paper_fusion_hint,W0346,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-SN018,MFPSN,per_paper_fusion_hint,W0171,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-SN019,ISSCC22_UED_SNN,per_paper_fusion_hint,W0347,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-AT004,Sanger,per_paper_fusion_hint,W0061,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-AT005,FACT,per_paper_fusion_hint,W0064,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-CR001,LUT-DLA,per_paper_fusion_hint,W0087,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-CR008,ISSCC25_ConvFormer,per_paper_fusion_hint,W0369,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-CM003,Spike-CIM,per_paper_fusion_hint,W0257,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-CM005,Park_TCAS-I_TD_SNN_CIM,per_paper_fusion_hint,W0370,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-IS004,Tu_ISSCC22_BitlineTranspose_CIM,per_paper_fusion_hint,W0376,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MUSHA-IS005,C-Transformer_ISSCC24,per_paper_fusion_hint,W0377,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,无全文则保持 unresolved,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,待补抓取队列 | DOI/题名回查
MAIN-R129,BitFair,per_paper_fusion_hint,W0101,学习提前终止+自适应位序+PE/FSM终止汇聚：按bit-plane完整输入归约，Pk≤θ^l预测ReLU置零跳剩余位——F2有损共同完成/组关闭强普通对照（借入≠X）。,vanilla bit-serial无早停；BitSET静态θ+MSB-first+定制编码；SnaPEA值级预测；SparseInfer预测后跳权无学习位序。,单输出ReLU-零预测≠lifting完整T10/共享请求并集共同完成；差分须同组关闭逻辑下换并集费用目标且过AEE。,F2第二队列强对照。旁路主岛。不抢Stage B。,CNN ReLU bit-serial≠SNN/T10；勿搬4.0–22.1×/12nm PPA；有损早停≠证书界；仅方法级未迁RTL。,同组关闭下相对SparseInfer/固定θ无并集费用优势或破AEE → 停该预测目标，保留早停文献对照。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,S_k/ℒ_bit生存正则作预期处理位分数模板 | PE终止+FSM汇聚作MP2组关闭普通控制 | ABO贪心位序作信息量大前缀对照 | 负结果只停单点预测挂r1布局
MAIN-R216,SLIACF,per_paper_fusion_hint,W0188,注意力无关局部通路+通道自适应互补融合：DW/PW邻域交换补稀疏离散QK关系，γ标定SSA vs SLI——F1删暴露关系字保表达 / F7互补融合对照底座（借入≠X）。,仅SSA/QKFormer；固定等权融合；改注意力表示本身而无独立局部支路。,SLI/ACF≠lifting源字物理删字X；差分须落到r1暴露端口与双PED或可共同删物理字上界。,F1/F7旁路对照。不抢Stage B；非主岛RTL。,ImageNet等精度≠本地same-port；无HW PPA可搬；方法窗不含训练附录全量。,映射后端口/服务不降或破AEE，或相对SSA-only无差分 → 停该挂接，保留结构对照。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,QK共发放稀疏作可共同删关系字上界 | 独立局部通路↔F1删字保留邻域表达 | γ通道标定↔多消费者贡献旋钮 | 负结果只停SLI+ACF挂ep34
MAIN-R238,SSER,per_paper_fusion_hint,W0210,异步per-pixel递归事件表示+自监督掩码重建+QAT GRU/MGU流水——前端表示/同址完成屏障与状态驻留对照（借入≠X）。,直方图/体素+CNN；LSTM双隐状态；无QAT浮点RNN；忽略同像素流水依赖的理想吞吐。,SSER/MGU≠lifting源字删字X；主张在r1执行对象与消费者接口。,F2弱（同像素完成屏障）；旁路前端。不抢Stage B。,Gen1检测≠AEE；160ns/event勿搬；仅方法摘录窗口。,替换前端无AEE/延迟增益或同址屏障钉死吞吐 → 停该表示挂载。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,同像素写回前不可再入作地址级共同完成合同 | BRAM每址驻留↔F5弱对照 | MGU同CC降乘数维→算术并行≠状态费用下降 | 掩码重建偏时间作事件损失权重 | 负结果只停SSER前端替换
MAIN-R223,EDCFlow,per_paper_fusion_hint,W0195,高分辨时密特征差与低分辨相关互补运动编码，降二次搜索保中间运动——同任务事件光流算法底座（借入≠X）。,仅低分辨全对相关；时密多代价体；高分辨全代价硬扩；无相关仅差动或无差动仅相关。,差动+相关融合≠lifting X；同任务旁路，主岛不在ANN精修头。,F7弱；同任务旁路基线。不抢Stage B。,DSEC EPE≠AEE；FLOPs勿写成same-port%；方法窗截断禁止假装已读完整融合公式。,挂主网无AEE/服务增益或挤占Stage B → 保持旁路，不进标题。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,高分辨便宜差动+低分辨稳健相关作多分辨率分母 | 即插精修↔Stage B后可叠不改主分母 | 差动保边界/相关抗噪对照F1删通道 | 与EventShiftFlow旁路成对 | 负结果只停EDCFlow头替换
MAIN-R237,HOMI,per_paper_fusion_hint,W0209,EVT原生解码→可切换事件/时间表示→RAMAN稀疏CNN加速的端到端EdgeAI管线——系统级供数/表示/稀疏执行分母（借入≠X）。,USB AER瓶颈；仅直方图；重ETS时间面；无稀疏引擎稠密CNN；单时钟靠丢事件保实时。,HOMI/RAMAN≠lifting执行对象X；边缘fps不写成Stage B净服务。,旁路（前端+CNN平台）。不抢Stage B。,IMX636+Ultrascale≠T10合同；方法窗截断；完整应用结果可能缺失。,对主岛无差分或仅集成无新合同 → 保持平台旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,EVT bank向量化打包作广播域压缩弱对照 | 预处理快钟vs加速器慢钟背压合同 | 事件基/时间基双输入旋钮 | ASE作ordinary稀疏跳过强对照 | 负结果只停HOMI管线替换
MAIN-R348,CFMP / ConvFormer chip,per_paper_fusion_hint,W0320,混合线性/稠密注意力+层融合KV/权复用+级联「注入冗余→mask剪中间→恢复密度」——剪枝/融合/暴露面压缩强底座（借入≠X）。,纯VA大TL外存；无KV-权复用的朴素LF；Seg.Head常规零跳过无效；重叠fusion重复EMA。,CFMP/HAPU≠lifting源活动×双PED删字X；须落到r1物理源字与T10消费者。,F1/F2/F7强相关；第二队列/Stage B后可挂对照。不抢Stage B。,0.22μJ/token勿搬；Cityscapes≠AEE；ANN剪枝≠SNN源∩W；仅方法摘录窗口。,同槽不胜HiNM/窄稠密或破AEE，或mask/DRU开销吃掉收益 → 停该级联剪布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,先扩再剪使稠密段可结构化稀疏↔F1 | FMS早停解码作元数据掩盖杀门 | DRU列→行重排作稀疏存/稠密消费边界 | 非重叠+注意力补野+零填↔F4弱证书 | LFS复用序↔F3/F7 | 负结果只停CFMP挂r1
MAIN-R240,3DS-ISC,per_paper_fusion_hint,W0212,感存算一体 per-pixel Time-Surface 驻留（器件物理衰减代多比特时间戳 SRAM）——前端表示驻留对照分母（借入≠X）。,片外算TS；片上16-bit SRAM/TPI；纯事件队列；无衰减SAE。,模拟eDRAM-TS/3D-ISC≠lifting源字X；主岛在数字残差执行。,F5弱相关（每址驻留）；前端旁路。不抢Stage B。,勿搬69×/2.2×等PPA；分类/SSIM≠AEE；仅方法摘录窗口（§III截断）。,前端替换后AEE/服务无增益或模拟非理想不可映射 → 文献对照，不进标题。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,物理衰减代时间戳字作驻留费用对照 | 3D近传感搬移税叙事↔同端口税（非搬TSV） | 与SSER/EBBI前端成对 | 负结果只停模拟TS前端替换
MAIN-R232,Motion-aware Event Suppression,per_paper_fusion_hint,W0204,任务驱动保留/抑制事件掩码 + ≤100ms运动预测前瞻过滤——输入侧活动删减对照（借入≠X）。,稠密3D/SLAM再建分割；手调OMS阈值；只分割不抑制；无前瞻事后滤波。,事件抑制/token pruning≠lifting物理删字X；须落到r1执行对象。,F1/F2/F7弱–中相关；旁路前端。不抢Stage B。,EVIMO IoU/173Hz/ViT+83%勿写same-port%；仅方法摘录窗口。,抑制后AEE变差或漏关键关键 → 停该前端；不杀F1删字家族。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,掩码×流warp两步前瞻合同 | motion-guided token pruning作F1/F7减负 | <5%动态不平衡须报保留召回 | 负结果只停抑制前端挂载
MAIN-R231,SENECA ANN vs SNN optical flow,per_paper_fusion_hint,W0203,同核激活/尖峰稀疏合同：可训阈值+稀疏正则+同像素grouping降膜访存+depth-first跨核流水（借入≠X）。,稠密ReLU/GRU；只压DRAM仍零乘；无grouping逐事件加载膜；单核串行整层。,FATReLU/grouping非标题X；差分须同端口访存真降。,F1/F2强对照；同任务光流旁证。不抢Stage B。,MVSEC≠valid825；核容量限分辨率；权重不复用是原作边界；仅摘录窗。,稀疏升但服务/同端口费用不降 → 停该映射；保留阈值+grouping轴。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,group=4一次加载膜作访存分母 | depth-first收首事件启下层→F2对照 | 层密度瓶颈λ_i叙事 | ANN↔SNN同核公平对照 | 负结果只停照搬映射
MAIN-R347,FlexSpIM,per_paper_fusion_hint,W0319,按层选驻留（权vs膜）+任意operand shaping——有限RF谁该驻留对照（借入≠X）。,固定纵横比/仅WS CIM；权膜位宽锁比例。,CIM宏≠lifting X；借驻留选择对照F5，勿称CIM-X。,F5旁证；不进主岛。不抢Stage B。与local全文卡联读防双计。,40nm CIM≠本地AEE；相位以全文卡为准；勿搬能量外推。,无同端口重读改善或相位不可映射 → 停类比，不杀有限RF家族。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,HS-min选更小操作数驻留 | carry-select邻接限制 | shaping能量波动上界 | 负结果只停CIM名替换数字链
