id,category,name,full_title,venue,venue_verification,entity_type,depth,role,status,reason,what_untried,source_url,evidence_file
R050,稀疏架构与C1/C2,EBPC,EBPC: Extended Bit-Plane Compression for Deep Neural Network Inference and Training Accelerators,IEEE JETCAS 2019,作者全文与 DOI 10.1109/JETCAS.2019.2950093 已核,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本地研究记录已读；阅读深度见 status,无损特征流压缩 / DNN 位平面编码与解码 RTL 基线,保留未试线索 / 20260906 已读作者全文并定位官方 RTL；未完整综合/迁入,官方stream-ebpc RTL已找到未导入；顺序激活流压缩不等于随机W bank无损压缩。 / 个别后续审计写未取得全文只是该轮状态，不抹掉已有阅读。逻辑压缩 bit 少不等于 1RW 随机访问少。,完整压缩/解压、目录/字对齐/背压及访问代价，不能只报熵。 / 官方 stream-ebpc 编解码完整成本；实际物理 word/目录/随机访问和短块尾部,https://arxiv.org/html/1908.11645v2；https://github.com/pulp-platform/stream-ebpc；https://cris.unibo.it/handle/11585/728412,/home/zhumd/work/ideafromai/codex_independent_20260905/02_literature_and_alternative_ideas.md；/home/zhumd/work/ideafromai/research/codex_deep_rebuild_20260906/report-source.md
R051,稀疏架构与C1/C2,GOBO,GOBO: Quantizing Attention-Based NLP Models for Low Latency and Energy Efficient Inference,MICRO 2020,作者预印本注明 MICRO 2020；DOI 10.1109/MICRO50266.2020.00071,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 阅读层级按 status；元数据核验不等于原作完整迁移,码本权值/异常值编码 / 低位权重/离群值与编码强先验,保留未试线索 / 旧调研概述层级；未完整迁入,仅旧表提议；与支持字典不同，不能用其低bit表概念免费压本地部分和。 / 低位有效数值/离群值处理不是空白；本地 W8 或 θg 身份不是其完整方法实验。,完整异常项/索引/查表流，量化训练及同AEE表宽控制。 / 完整分布拟合/异常值路径/查表数据流；PSN 与卷积真实误差及存储收益,https://arxiv.org/abs/2005.03842,/home/zhumd/work/ideafromai/research/01_ann_sparsity_mechanisms.md
R052,稀疏架构与C1/C2,OliVe,OliVe: Accelerating Large Language Models via Hardware-friendly Outlier-Victim Pair Quantization,Proceedings of the 50th Annual International Symposium on Computer Architecture 2023 / ISCA 2023,本轮Crossref出版社元数据核验；全文阅读状态单独记录 / 作者预印本注明 ISCA 2023；DOI 10.1145/3579371.3589038,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 阅读层级按 status；元数据核验不等于原作完整迁移,异常值与victim配对量化 / 离群值-牺牲值配对量化与硬件编码,保留未试线索 / 旧调研概述层级；未完整迁入,只作低比特有损格式参考；未本地训练/实现。 / 不能把普通位宽缩小/离群回退当本地独有；未对本地连续 PSN 和 θW 进行其原训练/编码实验。,完整配对/标记/解码与精度，不能把连续θ等同动态任意幅值。 / 完整 outlier-victim 策略、编码和 PE；同 AEE 的强普通量化控制,https://arxiv.org/abs/2304.07493；https://doi.org/10.1145/3579371.3589038,/home/zhumd/work/ideafromai/research/01_ann_sparsity_mechanisms.md
R053,稀疏架构与C1/C2,ANT,ANT: Exploiting Adaptive Numerical Data Type for Low-Bit Deep Neural Network Quantization,MICRO 2022,已核 Microsoft Research 作者正式出版页,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 阅读层级按 status；元数据核验不等于原作完整迁移,自适应数值类型/量化线索 / flint 与逐张量数值类型选择,保留未试线索 / 旧调研概述层级；无完整本地方法,旧表名称级引用，未核完整方法。 / 固定长度适应数值类型及统一 PE 有直接先验；本地只做固定 INT8/Q14 等，不是完整 ANT。,先核题名、编码选择和解码硬件；再与普通dyadic INT8比较。 / 原始数据类型搜索/训练和 PE；连续 PSN、原始体素等真实挂点的完整 AEE/服务比较,https://www.microsoft.com/en-us/research/publication/ant-exploiting-adaptive-numerical-data-type-for-low-bit-deep-neural-network-quantization/,/home/zhumd/work/ideafromai/research/01_ann_sparsity_mechanisms.md
R054,稀疏架构与C1/C2,SpinalFlow,SpinalFlow: An Architecture and Dataflow Tailored for Spiking Neural Networks,ISCA 2020,本地表称该会议/年份；本轮未一手复核,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验,时间有序事件流与归并 / SNN / 事件视觉硬件先验,保留未试线索 / 纳入相关工作；未完整迁移,"旧Grok“实值必须按(time,|amp|)排序”推理不成立：保持time顺序并携载荷即可。真正障碍是非因果full-A PSN，不是静态θ幅值。；条件变化：当前有训练码与固定BN，可重新定义消费界；不得继续用错误幅值论据停止。 / Gustav 原文明确 tick-batch 来源是 SpinalFlow；旧 Grok 将其仅理解成时间戳代码并据此 fit-fail 的整体否决不能保留。",全文神经元/事件排序/片上布局与完整代价；不能把LIF递推直接替换原PSN。 / 原作完整数据流仍应作底座对照，不限于一句膜存储节约。,,/home/zhumd/work/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md；/home/zhumd/work/ideafromai/research/grok46_20260905/04_paper_survey.md；/home/zhumd/work/ideafromai/research/11_event_camera_stack_accelerators.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/GustavSNN_HPCA2026_public_mirror.txt
R055,稀疏架构与C1/C2,SATO,SATO: Spiking Neural Network Acceleration via Temporal-Oriented Dataflow and Architecture,DAC 2022,本地表称该会议/年份；本轮未一手复核,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验,时间导向批处理/加法执行 / SNN / 事件视觉硬件先验,保留未试线索 / 纳入相关工作；未完整迁移,旧表把DAC22/TPDS24混列，当前作者preprint可定位，未核后续期刊版本。 / 时间并行、发放搜索与调度须完整借；full-rank PSN 需要不同消费者，不能只换阈值器声称复现。,完整事件编码/桶/执行与神经元状态；普通T展开不能算新增。 / 完整搜索/桶调度/存储与新消费者尚未迁移。,https://mxhx7199.github.io/files/%5BDAC-2022%5DSATO_preprint.pdf,/home/zhumd/work/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/psn/independent_review.md；/home/zhumd/work/ideafromai/research/11_event_camera_stack_accelerators.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R056,稀疏架构与C1/C2,STELLAR,STELLAR: Energy-Efficient and Low-Latency SNN Algorithm and Hardware Co-Design with Spatiotemporal Computation,HPCA 2024,本地表称该会议/年份；本轮未一手复核,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验,时空算法硬件协同 / SNN / 事件视觉硬件先验,保留未试线索 / 纳入相关工作；未完整迁移,旧AI列举，不等于本地完整架构复现。 / Few-Spikes 训练与 stRS 是联合底座；原模型不同不等于思想被证伪。,完整训练/时空执行与状态，核非因果PSN替换边界。 / FSBP 全训练和完整时空行驻留布局未迁移。,https://www.proceedings.com/content/074/074054webtoc.pdf,/home/zhumd/work/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md；/home/zhumd/work/ideafromai/research/11_event_camera_stack_accelerators.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R057,稀疏架构与C1/C2,FireFly,FireFly: A High-Throughput Hardware Accelerator for Spiking Neural Networks With Efficient DSP and Memory Optimization,IEEE TVLSI（旧表称） 2023 / IEEE TVLSI 2023,本地表称该会议/年份；本轮未一手复核 / 本地原文/调研记录；本轮未重新确认正式出版元数据,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验,FPGA事件驱动SNN / SNN / 事件视觉硬件先验,保留未试线索 / 纳入相关工作；未完整迁移,只作为spike加法/脉冲驱动先验；FPGA资源不能冒充28nm CMOS。 / DSP/存储优化是完整 FPGA 底座，不转写为本 ASIC PPA。,完整数据流与编码，若借机制须重新数字ASIC映射。 / 完整算术与存储映射未迁移。,https://arxiv.org/html/2505.12771v1；https://arxiv.org/html/2408.15578v1；https://arxiv.org/abs/1708.04485；https://arxiv.org/abs/1712.01507；https://cs.yale.edu/homes/el327/papers/mailmanAlgorithm.pdf；https://arxiv.org/abs/2301.01905,/home/zhumd/work/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md；/home/zhumd/work/ideafromai/research/idea_reassessment_four_questions_20260907.md；/home/zhumd/work/ideafromai/research/hardware_innovation_execution_plan_20260908.md；/home/zhumd/work/ideafromai/research/13_isscc_vlsi_hotchips_edge_npus.md；/home/zhumd/work/ideafromai/codex_independent_20260905/01_review_and_selective_shared_reduction.md；/home/zhumd/work/ideafromai/research/11_event_camera_stack_accelerators.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R058,稀疏架构与C1/C2,FireFly-v2,FireFly v2: Advancing Hardware Support for High-Performance Spiking Neural Network with a Spatiotemporal FPGA Accelerator,IEEE TCAD 2024,已核 DOI 和作者论文,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,空间时间并行/FPGA位布局 / SNN / 注意力 / 事件视觉算法或硬件先验,保留未试线索 / 完整强对照来源,位级FPGA技巧不是CMOS创新；完整temporal并行可作强控制。 / 已有时空 FPGA 数据流、多位输入和脉冲后处理；不能把普通时间展开重新命名为新机制。,原完整架构/片上buffer及实际θg接口；未移植原FPGA实现。 / 完整多位输入和前后处理链未迁移为本地 ASIC 模型。,https://arxiv.org/abs/2309.16158；https://doi.org/10.1109/TCAD.2024.3380550,/home/zhumd/work/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md；/home/zhumd/work/ideafromai/research/grok46_20260905/04_paper_survey.md；/home/zhumd/work/ideafromai/research/13_isscc_vlsi_hotchips_edge_npus.md；/home/zhumd/work/ideafromai/codex_independent_20260905/01_review_and_selective_shared_reduction.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R059,稀疏架构与C1/C2,FireFly-S,FireFly-S: Exploiting Dual-Side Sparsity for Spiking Neural Networks Acceleration with Reconfigurable Spatial Architecture,IEEE Transactions on Circuits and Systems I 2025,作者确认 TCAS-I；2024 early access、2025 卷期需区分,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,FPGA稀疏SNN / SNN / 注意力 / 事件视觉算法或硬件先验,保留未试线索 / 保留训练与架构迁移,早期只列调研线索；本轮已纠正TCAS-I身份。完整训练与双侧稀疏架构尚未迁入，未剪枝W稠密不能否定原法。 / 原 W 约 98% 非零不构成对训练剪枝方案的否定；旧表写 TVLSI 不准确。,完整重连、双侧稀疏、量化训练与空间架构共同迁入；分清FPGA器件特化。 / 原文完整重连、双侧稀疏、量化及空间架构尚未一起迁移。,https://arxiv.org/abs/2408.15578；https://doi.org/10.1109/TCSI.2024.3496554,/home/zhumd/work/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md；/home/zhumd/work/ideafromai/research/grok46_20260905/04_paper_survey.md；/home/zhumd/work/ideafromai/research/idea_reassessment_four_questions_20260907.md；/home/zhumd/work/ideafromai/research/hardware_innovation_execution_plan_20260908.md；/home/zhumd/work/ideafromai/research/13_isscc_vlsi_hotchips_edge_npus.md
R060,稀疏架构与C1/C2,FireFly-T,FireFly-T: High-Throughput Sparsity Exploitation for Spiking Transformer Acceleration with Dual-Engine Overlay Architecture,IEEE Transactions on Computers 2026,arXiv 原文已核；最终卷期待 DOI 原站复核,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,Spiking Transformer完整执行/查表 / SNN / 注意力 / 事件视觉算法或硬件先验,保留未试线索 / 强架构先验，未完整迁移,LUT6 AND-PopCount不是本地CMOS新原语；但完整数据流未被否定。 / 双引擎稀疏 Transformer 与 FPGA LUT 映射是先验；LUT6 AND-popcount 不能直接当 CMOS 新意。,原执行链、张量布局/缓存/非线性；不能只抽AND-PopCount当完整迁移。 / 完整双引擎、压缩、供数与跨层调度迁移未做。,https://arxiv.org/abs/2505.12771,/home/zhumd/work/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md；/home/zhumd/work/ideafromai/research/grok46_20260905/04_paper_survey.md；/home/zhumd/work/ideafromai/research/idea_reassessment_four_questions_20260907.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/candidate_cards_v1.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R061,稀疏架构与C1/C2,SpikeX,SpikeX: Exploring Accelerator Architecture and Network-Hardware Co-Optimization for Sparse Spiking Neural Networks,arXiv；旧表称TCAD2025待核 2025 / IEEE TCAD 2025,本地表称该会议/年份；本轮未一手复核 / 作者 arXiv 注释确认接收；卷期未核,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,稀疏SNN网络硬件协同 / SNN / 注意力 / 事件视觉算法或硬件先验,保留未试线索 / 费用训练强对照,广播与稀疏执行强先验；旧TSBG不能因typed-signed变成独立广播发明。 / 已有 time-window OR 占用、分段 EDP 代理和网络硬件共训；逐 spike 正则是弱对照。,完整网络共同优化/存储调度与双侧零跳过；本地未迁原全系统。 / 原文完整 SP-MB 组织与本任务 patch 费用训练尚未复现。,https://arxiv.org/abs/2505.12292,/home/zhumd/work/ideafromai/research/grok46_20260905/04_paper_survey.md；/home/zhumd/work/ideafromai/codex_independent_20260905/02_literature_and_alternative_ideas.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/patch_trainable_fusion_followup_20260908.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R062,稀疏架构与C1/C2,Bishop,Bishop: Sparsified Bundling Spiking Transformers on Heterogeneous Cores with Error-Constrained Pruning,ISCA 2025,已核 DOI,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,TTB/BSA/ECP、稠密稀疏核与AAC注意力 / SNN / 注意力 / 事件视觉算法或硬件先验,保留未试线索 / 强剪枝/异构调度先验,旧AI高分依赖错误任意ATLIF载荷、免费motion predictor和SDSA身份；不能把这些高分当证据。原bundle+训练/误差界方法仍可完整借。 / 误差约束 pruning 与 bundling 均是需要承接的原有行为。,完整TTB/BSA训练、stratifier/ECP与AAC；H67 Motion-XOR/共静默/temporal peer需重新误差界及AEE。 / 整套误差预算、恢复及异构调度未迁移。,https://arxiv.org/abs/2505.12281；https://doi.org/10.1145/3695053.3731063,/home/zhumd/work/ideafromai/research/07_transformer_attention_accelerators.md；/home/zhumd/work/ideafromai/research/grok46_20260905/04_paper_survey.md；/home/zhumd/work/ideafromai/research/01_ann_sparsity_mechanisms.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/synthesis.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md；/home/zhumd/work/ideafromai/research/mechanism_rebuild_gh_20260906/report-source.md
R063,稀疏架构与C1/C2,SMAM / Sparse Spike-Driven Transformer HW,An Efficient Sparse Hardware Accelerator for Spike-Driven Transformer,arXiv 2025,本地表称该会议/年份；本轮未一手复核,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,dual-spike Mask-Add及位置编码跳过 / SNN / 注意力 / 事件视觉算法或硬件先验,保留未试线索 / 仅调研/待迁移,SMAM-RP的“不可折实值ATLIF”区别不成立；H67 Motion-XOR也不是普通SDSA，因此不能直接把原叶替换。 / SMAM 是该论文中的稀疏机制，不应另列成独立论文。,完整SMAM编码/数据流及对Motion-XOR的真实新增算术，保留θg消费者。 / 对真实 θg、gate×K 多位路径的完整配置未实现。,https://arxiv.org/abs/2501.07825,/home/zhumd/work/ideafromai/research/07_transformer_attention_accelerators.md；/home/zhumd/work/ideafromai/research/grok46_20260905/04_paper_survey.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R064,稀疏架构与C1/C2,Hardware Efficient Reconfigurable Time-Step Spiking Transformer,Hardware Efficient Accelerator for Spiking Transformer With Reconfigurable Parallel Time Step Computing,ISCAS 2025,已核 DOI/作者原文,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,T4/2/1 mux展开 / SNN / 注意力 / 事件视觉算法或硬件先验,保留未试线索 / 强实现先验,混T本身已经有电路先验；原T4/2/1不自动覆盖我们的T10神经元/非因果窗口。 / 已有可重配 T=4/2/1 并行；不能把混 T 本身算新创新。,完整PE/状态调度和资源；不能只把mux复制成T10当标题机制。 / 非因果满秩 T10 PSN 和动态 BN 的完整扩展未试。,https://arxiv.org/abs/2503.19643；https://doi.org/10.1109/ISCAS56072.2025.11043330,/home/zhumd/work/ideafromai/research/grok46_20260905/04_paper_survey.md；/home/zhumd/work/ideafromai/research/01_ann_sparsity_mechanisms.md；/home/zhumd/work/ideafromai/research/codex_deep_rebuild_20260906/report-source.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R065,稀疏架构与C1/C2,Configurable CSA for Spiking Transformers,An Area-Efficient and Bit-Width Configurable Carry-Save Adder Tree for Spiking Transformers,2025 IEEE International Symposium on Circuits and Systems (ISCAS) 2025 / ISCAS 2025,出版方 DOI 元数据已核（根节点公共缓存）；不等于全文已读 / 出版元数据核对,paper,摘要/一手元数据已核；未精读全文 / 方法深度各异：Gustav 有全文与实现迁移；多数宏仅本地引文/元数据核查 / IEEE原始摘要；未取得全文,可配置CSA树 / SNN/事件电路或架构强先验 / 两模式CSA与跨时间权重组织,保留未试线索 / 纳入；不冒用原作 PPA / 保留借鉴；未迁移,只读官方摘要，未获全文；本地NR4 member归约使用组合加法不能称完整此架构或新原语。 / 可重配 CSA 是加法器底座；普通位宽适配不能单独算新架构。 / 纳入普通强算术对照；NR4类别归约收益被更强时间轴吞掉，不说明这篇CSA无效。,全文位宽/符号/树控制、时序及数字ASIC映射；scalar/member必须按不同资源比较。 / 完整适配本任务 θg、非因果 T10、实际存储/供数与生产成本尚未全部完成。 / 完整两模式、供数、最终进位和物理时序，正文仍有缺口。,https://doi.org/10.1109/ISCAS56072.2025.11043823,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/circuit_followup_20260908.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md；/home/zhumd/work/ideafromai/research/11_event_camera_stack_accelerators.md；/home/zhumd/work/ideafromai/research/grok46_20260905/04_paper_survey.md
R066,稀疏架构与C1/C2,ESSA,ESSA: Design of a Programmable Efficient Sparse Spiking Neural Network Accelerator,IEEE TVLSI（旧表称） 2022 / IEEE TVLSI 2022,本地表称该会议/年份；本轮未一手复核 / 本地原文/调研记录；本轮未重新确认正式出版元数据,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验,时间/W稀疏、自适应压缩/组合树 / SNN / 事件视觉硬件先验,保留未试线索 / 纳入相关工作；未完整迁移,旧Grok表摘要，未找到正文阅读证据。 / 双稀疏压缩、fan-in/fan-out 与 multicast 是已有完整机制。,原压缩、时间批及神经元链；不能直接套错ATLIF载荷。 / 当前 θg 和非因果 T10 消费者的完整调度未试。,https://ieeexplore.ieee.org/document/9881220/,/home/zhumd/work/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md；/home/zhumd/work/ideafromai/research/11_event_camera_stack_accelerators.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R067,稀疏架构与C1/C2,Skydiver,Skydiver: A Spiking Neural Network Accelerator Exploiting Spatio-Temporal Workload Balance,IEEE TCAD（旧表称） 2022 / IEEE TCAD 2022,本地表称该会议/年份；本轮未一手复核 / 本地原文/调研记录；本轮未重新确认正式出版元数据,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验,APRC/CBWS时间和权重稀疏 / SNN / 事件视觉硬件先验,保留未试线索 / 纳入相关工作；未完整迁移,旧Grok表摘要，未实现。 / APRC 和 CBWS 应作为负载均衡基线；不能仅以二值假定排除。,核原文、时间依赖和有限事件缓存，给直接T并行强控制。 / 完整两级平衡和调度适配未试。,https://arxiv.org/abs/2203.07516,/home/zhumd/work/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md；/home/zhumd/work/ideafromai/research/11_event_camera_stack_accelerators.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R068,稀疏架构与C1/C2,COMPASS,COMPASS: SRAM-Based Computing-in-Memory SNN Accelerator with Adaptive Spike Speculation,MICRO 2024,已核作者出版记录；全文获取不完整,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本地研究记录已读；阅读深度见 status / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验,spike speculation / SRAM-CIM / 自适应 spike speculation 直接近邻 / SNN / 事件视觉硬件先验,保留未试线索 / 作者出版记录已核；全文未取得；未迁移 / 纳入相关工作；未完整迁移,仅AI线索；定制CIM宏不属于本地普通1RW SRAM合同。 / 不能将本地预测器视为没有硬件先例；CIM 物理实现不属于本数字 1RW 路线。 / 该题名/会议来自旧 AI 引文，本轮未取得可核的原文身份；推测不算已做工作。,先核其推测/恢复可否独立于CIM迁移；不得继承原芯片PPA。 / 原文预测/恢复机制，不先借 PPA；独立数字迁移与真实 T10 依赖 / 完整身份及预测/回退路径须补核。,https://mxhx7199.github.io/publications/,/home/zhumd/work/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/conditional_execution_followup_20260908.md；/home/zhumd/work/ideafromai/research/11_event_camera_stack_accelerators.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R069,稀疏架构与C1/C2,SpikeSim / SpikeFlow,完整题名待核,IEEE TCAD（旧表称） 2023,本地表称该会议/年份；本轮未一手复核,paper,旧AI文献表/链接；未找到全文逐节阅读记录,IMC系统模拟/带符号差分,保留未试线索,只是工具/IMC线索，不能把模型结果叫数字ASIC测量。,核具体论文与工具、阵列模型/映射误差；本地无同精度全链迁移。,,/home/zhumd/work/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md
R070,稀疏架构与C1/C2,SpikeTA,完整题名待核；SpikeTA,IEEE TCAD（旧 AI 声称） 2025,旧 AI 列举；未找到准确一手对应论文,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验,FPGA时序SNN Transformer缓冲 / SNN / 事件视觉硬件先验,保留未试线索 / 纳入相关工作；未完整迁移,只见名称/摘要；不能混为本网络已实现attention系统。 / 未找到与旧引文准确对应的一手身份；不能把旧“FPGA TSNN 首作”当已证事实。,完整TSNN/层深相关buffer与本网络12block形状对齐。 / 先消歧论文，再评完整 streaming/split-engine。,,/home/zhumd/work/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md；/home/zhumd/work/ideafromai/research/11_event_camera_stack_accelerators.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R071,稀疏架构与C1/C2,L-SPINE,L-SPINE: A Low-Precision SIMD Spiking Neural Compute Engine for Resource-efficient Edge Inference,arXiv 2026,本地表称该会议/年份；本轮未一手复核,paper,旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,低比特2/4/8 SIMD神经元线索 / SNN / 注意力 / 事件视觉算法或硬件先验,保留未试线索 / 仅他 AI 列举与身份核查,未全文核，保留作多位PSN执行参考。 / 低精度 SIMD 执行可作实现参照；没有本地性能验证。,精读合法数值、SIMD结构及消费者，比较已有常量矩阵编译。 / 完整方法与代码迁移未试。,https://arxiv.org/abs/2604.03626,/home/zhumd/work/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R072,稀疏架构与C1/C2,OpenEye,完整题名待核,旧表未核,本地表称该会议/年份；本轮未一手复核,paper,旧AI文献表/链接；未找到全文逐节阅读记录,开源加速器线索,保留未试线索,只见名称；未确认具体版本、全文或工件导入。,先完成身份和scope核验，不可称已试/已否定。,,/home/zhumd/work/ideafromai/research/grok46_20260905/04_paper_survey.md
R073,稀疏架构与C1/C2,SpAtten,SpAtten: Efficient Sparse Attention Architecture with Cascade Token and Head Pruning,HPCA 2021,本地表称该会议/年份；本轮未一手复核,paper,旧AI文献表/链接；未找到全文逐节阅读记录,级联token/head剪枝、progressive quantization,保留未试线索,旧“加motion名字就是8分”不成立；完整门控需在昂贵投影前可产生，且光流需要密集输出。,完整top-k/逐级量化/供数与训练；Motion-XOR/Shiftmax不是原softmax。,https://arxiv.org/abs/2012.09852,/home/zhumd/work/ideafromai/research/01_ann_sparsity_mechanisms.md；/home/zhumd/work/ideafromai/research/07_transformer_attention_accelerators.md
R074,稀疏架构与C1/C2,A³,A³: Accelerating Attention Mechanisms in Neural Networks with Approximation,HPCA 2020,本地表称该会议/年份；本轮未一手复核,paper,旧AI文献表/链接；未找到全文逐节阅读记录,近似candidate selection,保留未试线索,原content-based attention search与C1产品父行匹配不是同一个exact search；旧ARM假说不可直接套。,全文候选构造/筛选与真实H67评估；coarse-flow producer/恢复成本。,https://arxiv.org/abs/2002.10941,/home/zhumd/work/ideafromai/research/07_transformer_attention_accelerators.md
R075,稀疏架构与C1/C2,Sanger,Sanger: A Co-Design Framework for Enabling Sparse Attention using Reconfigurable Architecture,MICRO-54: 54th Annual IEEE/ACM International Symposium on Microarchitecture 2021,本轮Crossref出版社元数据核验；全文阅读状态单独记录,paper,旧AI文献表/链接；未找到全文逐节阅读记录,低bit mask预测+score-stationary阵列,保留未试线索,原稀疏预测/packing是完整先验，旧motion重命名未形成对应实际producer或精度证据。,完整预测器、pack、SDDMM/SpMM重配及H67消费者；先与普通静态窗口/原attention比较。,https://doi.org/10.1145/3466752.3480125,/home/zhumd/work/ideafromai/research/07_transformer_attention_accelerators.md
R076,稀疏架构与C1/C2,ELSA (attention 2021),"ELSA: Hardware-Software Co-design for Efficient, Lightweight Self-Attention",ISCA 2021,本地表称该会议/年份；本轮未一手复核,paper,旧AI文献表/链接；未找到全文逐节阅读记录,轻量关系过滤/随机投影,保留未试线索,与ELSA2026 SNN是不同论文；低价filter须比二值popcount本身更便宜，不能免费跳Q/K全域BN。,完整filter投影与H67分数误差/密集光流AEE；现有G/H RTL不是该方法映射。,https://taejunham.github.io/data/elsa_isca21.pdf；https://doi.org/10.1109/ISCA52012.2021.00060,/home/zhumd/work/ideafromai/research/07_transformer_attention_accelerators.md
R077,稀疏架构与C1/C2,DOTA,DOTA: Detect and Omit Weak Attentions for Scalable Transformer Acceleration,ASPLOS 2022,本地表称该会议/年份；本轮未一手复核,paper,旧AI文献表/链接；未找到全文逐节阅读记录,训练Detector+token parallel执行,保留未试线索,不是同名光子DOTA；旧草图缺真实弱边预测器，注意力叶份额也需重测。,联合训练Detector、mask/稀疏执行全链与同budget AEE，不只贴OP-STW端口。,https://doi.org/10.1145/3503222.3507738；https://par.nsf.gov/servlets/purl/10357543,/home/zhumd/work/ideafromai/research/07_transformer_attention_accelerators.md
