uid,name,full_title,venue,entity_type,category,depth_bucket,read_flag,inventory_origin,status,source_url
MAIN-R177,Control Variate,Control Variate Approximation for DNN Accelerators,DAC 2021,paper,剪枝、条件执行与编译,metadata_or_list,already_inventoried,literature_audit_20260909,旧调研引用/概述；未完整迁入,['https://doi.org/10.1109/DAC18074.2021.9586092']
MAIN-R178,Control Variate extension,Leveraging Highly Approximated Multipliers in DNN Inference,arXiv 2024,paper,剪枝、条件执行与编译,metadata_or_list,already_inventoried,literature_audit_20260909,作者预印本身份已核；旧包列入；未完整迁入,['https://arxiv.org/abs/2412.16757']
MAIN-R179,MACISH,MACISH: Designing Approximate MAC Accelerators With Internal-Self-Healing,IEEE Access 2019,paper,剪枝、条件执行与编译,metadata_or_list,already_inventoried,literature_audit_20260909,出版身份已核；旧概述层级；无本地完整实现,['https://doi.org/10.1109/ACCESS.2019.2920335']
MAIN-R180,Laconic,Laconic Deep Learning Computing（作者预印本）；会议版 Laconic Deep Learning Inference Acceleration,arXiv 预印本；会议版 ISCA 待一手正文复核 2018,paper,剪枝、条件执行与编译,metadata_or_list,already_inventoried,literature_audit_20260909,旧包名字级提及；本轮作者预印本摘要核身份；非方法完整精读,['https://arxiv.org/abs/1805.04513']
MAIN-R181,BISMO,BISMO: A Scalable Bit-Serial Matrix Multiplication Overlay for Reconfigurable Computing,FPL 2018,paper,剪枝、条件执行与编译,metadata_or_list,already_inventoried,literature_audit_20260909,原文相关方法已读；没有完整迁入 FPGA overlay,['https://arxiv.org/abs/1806.08862']
MAIN-R182,OPN,Memory-Efficient Batch Normalization by One-Pass Computation for On-Device Training,IEEE Transactions on Circuits and Systems II: Express Briefs 2024,paper,剪枝、条件执行与编译,metadata_or_list,already_inventoried,literature_audit_20260909,最新 20260906 已补读原文 III-B/C/D 与 IV；不是仍未取得全文,['https://doi.org/10.1109/TCSII.2024.3354738']
MAIN-R183,FlexAcc,FlexAcc: Accelerating Batch Normalization through GPU-FPGA Integration,ISCAS 2025,paper,剪枝、条件执行与编译,metadata_or_list,already_inventoried,literature_audit_20260909,20260906 已读 III-A/B/C；完整异构系统未迁入,['https://jiemingyin.github.io/docs/ISCAS2025_FlexAcc.pdf']
MAIN-R184,ACBN,ACBN: Approximate Calculated Batch Normalization for Efficient DNN On-Device Training Processor,IEEE Transactions on Very Large Scale Integration Systems 2023,paper,剪枝、条件执行与编译,metadata_or_list,already_inventoried,literature_audit_20260909,元数据/引用追踪层级；全文缺口仍未闭,['https://doi.org/10.1109/TVLSI.2023.3262787']
MAIN-R185,LUT-GEMM,LUT-GEMM: Quantized Matrix Multiplication Based on LUTs for Efficient Inference in Large-Scale Generative Language Models,ICLR 2024,paper,剪枝、条件执行与编译,deep_or_method,already_inventoried,literature_audit_20260909,本地作为方法近邻引用；未完整迁移 GPU kernel,['https://proceedings.iclr.cc/paper_files/paper/2024/file/a4f98ce85f440ee269b0df57b4368719-Paper-Conference.pdf']
MAIN-R186,Network Deconvolution,Network Deconvolution,ICLR 2020,paper,剪枝、条件执行与编译,metadata_or_list,already_inventoried,literature_audit_20260909,原理层面纳入；未迁入完整去相关训练,['https://arxiv.org/abs/1905.11926']
MAIN-R187,Deep Decomposition Learning,Deep Decomposition Learning for Inverse Imaging Problems,ECCV 2020,paper,剪枝、条件执行与编译,unclear,already_inventoried,literature_audit_20260909,原理已用于光流法向分解评审；未立项训练,['https://arxiv.org/abs/1911.11028']
MAIN-R188,Davis–Arel conditional low rank,Low-Rank Approximations for Conditional Feedforward Computation in Deep Neural Networks,arXiv 2013,paper,剪枝、条件执行与编译,deep_or_method,already_inventoried,literature_audit_20260909,原文 §3.1–3.5 已读；本地严格残差界有限迁移已测,['https://arxiv.org/abs/1312.4461']
MAIN-R189,Mixture-of-Rookies,Mixture-of-Rookies: Saving DNN Computations by Predicting ReLU Outputs,Universitat Politècnica de Catalunya 作者研究报告 2021,technical_report,剪枝、条件执行与编译,metadata_or_list,already_inventoried,literature_audit_20260909,本地原理引用；未完整迁入混合预测器/阵列,['https://www.ac.upc.edu/app/research-reports/html/RR/2021/7.pdf']
MAIN-R190,CNN-Cert,CNN-Cert: An Efficient Framework for Certifying Robustness of Convolutional Neural Networks,AAAI 2019,paper,剪枝、条件执行与编译,unclear,already_inventoried,literature_audit_20260909,本地原理引用；未迁入完整认证框架,['https://arxiv.org/abs/1811.12395']
MAIN-R191,Neuron Merging,Neuron Merging: Compensating for Pruned Neurons,NeurIPS 2020,paper,剪枝、条件执行与编译,unclear,already_inventoried,literature_audit_20260909,本地方法近邻引用；未完整迁入作者压缩方法,['https://papers.nips.cc/paper/2020/file/0678ca2eae02d542cc931e81b74de122-Paper.pdf']
MAIN-R192,Wanhammar distributed arithmetic notes,Distributed Arithmetic（DSP Integrated Circuits 作者讲义）,作者教学讲义，非独立会议论文,lecture_notes,剪枝、条件执行与编译,unclear,already_inventoried,literature_audit_20260909,既往已读第1–4页；未把讲义算作本地新方法,['https://users.isy.liu.se/eks/larsw/books/DSP_Integrated_Circuits/pdf/DSP_IC_DA.pdf']
MAIN-R193,ConvDLGN,Convolutional Differentiable Logic Gate Networks,NeurIPS 2024,paper,剪枝、条件执行与编译,unclear,already_inventoried,literature_audit_20260909,原文相关机制已读；本地逻辑模型未训练/综合,['https://proceedings.neurips.cc/paper_files/paper/2024/hash/db988b089d8d97d0f159c15ed0be6a71-Abstract-Conference.html']
MAIN-R194,JPEG-domain ResNet,Deep Residual Learning in the JPEG Transform Domain,ICCV 2019,paper,剪枝、条件执行与编译,method_or_partial,already_inventoried,literature_audit_20260909,原文 §4.3、补充 Algorithm 3 已读；未迁入 JPEG 网络,['https://arxiv.org/abs/1812.11690']
MAIN-R195,QuaRot,QuaRot: Outlier-Free 4-Bit Inference in Rotated LLMs,NeurIPS 2024,paper,剪枝、条件执行与编译,method_or_partial,already_inventoried,literature_audit_20260909,作者原文 §3.4/§4 已读；本地未完整迁入旋转量化,['https://proceedings.neurips.cc/paper_files/paper/2024/hash/b5b939436789f76f08b9d0da5e81af7c-Abstract-Conference.html']
MAIN-R196,Budgeted Broadcast,Budgeted Broadcast: An Activity-Dependent Pruning Rule for Neural Network Efficiency,arXiv 2025,paper,剪枝、条件执行与编译,deep_or_method,already_inventoried,literature_audit_20260909,原文 §2–4/Algorithm1/Fig2 已读；未完整迁入训练,['https://arxiv.org/abs/2510.01263']
MAIN-R197,SOFTS,SOFTS: Efficient Multivariate Time Series Forecasting with Series-Core Fusion,NeurIPS 2024,paper,剪枝、条件执行与编译,method_or_partial,already_inventoried,literature_audit_20260909,原文 §3.1–3.3/式3–5/附录B.2 已读；未迁入预测模型,['https://proceedings.nips.cc/paper_files/paper/2024/file/754612bde73a8b65ad8743f1f6d8ddf6-Paper-Conference.pdf']
MAIN-R198,PSN,Parallel Spiking Neurons with High Efficiency and Ability to Learn Long-term Dependencies,NeurIPS 2023,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,已迁移并形成强对照,"['https://arxiv.org/abs/2304.12760', 'https://proceedings.neurips.cc/paper_files/paper/2023/file/a834ac3dfdb90da54292c2c932c997cc-Paper-Conference.pdf']"
MAIN-R199,MFPSN,Multiplication-Free Parallelizable Spiking Neurons with Efficient Spatio-Temporal Dynamics,NeurIPS 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,停止限定局部拟合配置,"['https://arxiv.org/abs/2501.14490', 'https://proceedings.neurips.cc/paper_files/paper/2025/file/5f40a99efedc1148a061d80201949c84-Paper-Conference.pdf']"
MAIN-R200,SDformerFlow,SDformerFlow: Spatiotemporal swin spikeformer for event-based optical flow estimation,ICPR 2024,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,主网络来源,"['https://arxiv.org/abs/2409.04082', 'https://icpr2024.org/pdf/Technical%20Program.pdf']"
MAIN-R201,误引 SDformerFlow 的 arXiv 号,Selection pressure/Noise driven cooperative behaviour in the thermodynamic limit of repeated games,arXiv 2024,misattributed_citation,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,错误引用，停止沿用,['https://arxiv.org/abs/2407.15801']
MAIN-R202,Xpikeformer,Xpikeformer: Hybrid Analog-Digital Hardware Acceleration for Spiking Transformers,IEEE TVLSI 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,跨工艺架构先验,['https://arxiv.org/abs/2408.08794']
MAIN-R203,ASTER,ASTER: Attention-based Spiking Transformer Engine for Event-driven Reasoning,arXiv 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,保留原文线索,['https://arxiv.org/abs/2511.06770']
MAIN-R204,Seneca synaptic-delay hardware-aware training,Hardware-aware training of models with synaptic delays for digital event-driven neuromorphic processors,arXiv 2024,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,仅调研/待迁移,['https://arxiv.org/abs/2404.10597']
MAIN-R205,Efficient synaptic-delay implementation,Efficient Synaptic Delay Implementation in Digital Event-Driven AI Accelerators,arXiv 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,仅调研/待迁移,['https://arxiv.org/abs/2501.13610']
MAIN-R206,Multi-Bit Mechanism / MBLIF,Multi-Bit Mechanism: A Novel Information Transmission Paradigm for Spiking Neural Networks,arXiv 2024,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,仅新模型候选,['https://arxiv.org/abs/2407.05739']
MAIN-R207,Best of Both Worlds,Best of Both Worlds: Hybrid SNN-ANN Architecture for Event-based Optical Flow Estimation,arXiv 2023,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,混合 SNN-ANN 光流先验,['https://arxiv.org/abs/2306.02960']
MAIN-R208,Adaptive-SpikeNet,Adaptive-SpikeNet: Event-based Optical Flow Estimation using Spiking Neural Networks with Learnable Neuronal Dynamics,ICRA 2023,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,神经元/光流新模型先验,['https://arxiv.org/abs/2209.11741']
MAIN-R209,Spikingformer,Spikingformer: A Key Foundation Model for Spiking Neural Networks,AAAI 2026,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,注意力网络先验,['https://arxiv.org/abs/2304.11954']
MAIN-R210,QKFormer,QKFormer: Hierarchical Spiking Transformer using Q-K Attention,NeurIPS 2024,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,保留算法迁移,['https://arxiv.org/abs/2403.16552']
MAIN-R211,CATFormer,CATFormer: When Continual Learning Meets Spiking Transformers With Dynamic Thresholds,AAAI NeuroforAI & AIforNeuro Workshop 2026,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,仅调研/新模型候选,['https://arxiv.org/abs/2603.15184']
MAIN-R212,SpiLiFormer,SpiLiFormer: Enhancing Spiking Transformers with Lateral Inhibition,ICCV 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,注意力算法先验,['https://arxiv.org/abs/2503.15986']
MAIN-R213,SpikePool,SpikePool: Event-driven Spiking Transformer with Pooling Attention,arXiv 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,保留另模型候选，当前 QK 约束需注明,['https://arxiv.org/abs/2510.12102']
MAIN-R214,Spiking Patches,"Spiking Patches: Asynchronous, Sparse, and Efficient Tokens for Event Cameras",IROS 2026,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,稀疏事件 stem 候选,['https://arxiv.org/abs/2510.26614']
MAIN-R215,LRF-SSA / Neural Dynamics Self-Attention,Neural Dynamics Self-Attention for Spiking Transformers,arXiv / ICLR 投稿 2026,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,保留候选，纠正刊会,['https://arxiv.org/abs/2603.19290']
MAIN-R216,SLIACF,Spiking Local Interaction and Adaptive Complementary Fusion for Spiking Transformer,arXiv 2026,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,仅列举/未评价,['https://arxiv.org/abs/2608.19238']
MAIN-R217,A²OS²A / Addition-Only SSA,Spiking Transformer:Introducing Accurate Addition-Only Spiking Self-Attention for Transformer,CVPR 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,加法注意力强先验,['https://arxiv.org/abs/2503.00226']
MAIN-R218,TDE-3,TDE-3: An improved prior for optical flow computation in spiking neural networks,Frontiers in Neuroscience 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,事件时间先验，保留新结构候选,['https://arxiv.org/abs/2402.11662']
MAIN-R219,Scalable event-driven spatiotemporal feature circuit,A scalable event-driven spatiotemporal feature extraction circuit,arXiv 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,仅他 AI 提及/身份核查,['https://arxiv.org/abs/2501.10155']
MAIN-R220,Precise-event-timing egomotion,Event-based vision for egomotion estimation using precise event timing,arXiv 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,任务相关先验,['https://arxiv.org/abs/2501.11554']
MAIN-R221,EventShiftFlow,EventShiftFlow: Towards Hardware-efficient FPGA-based Flow Estimation,ICRA neuromorphic field robotics workshop 2026,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,硬件友好光流新模型候选,['https://arxiv.org/abs/2605.28312']
MAIN-R222,ResFlow / ResHTR 来源,ResFlow: Fine-tuning Residual Optical Flow for Event-based High Temporal Resolution Motion Estimation,arXiv 2024,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,保留光流新模型候选,['https://arxiv.org/abs/2412.09105']
MAIN-R223,EDCFlow,EDCFlow: Exploring Temporally Dense Difference Maps for Event-based Optical Flow Estimation,CVPR 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,保留模型改造候选,['https://arxiv.org/abs/2506.03512']
MAIN-R224,BAT,BAT: Learning Event-based Optical Flow with Bidirectional Adaptive Temporal Correlation,AAAI 2026,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,保留时间相关机制,['https://arxiv.org/abs/2503.03256']
MAIN-R225,IDNet / TID 来源,Lightweight Event-based Optical Flow Estimation via Iterative Deblurring,ICRA 2024,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,保留完整迭代去模糊先验,['https://arxiv.org/abs/2211.13726']
MAIN-R226,EVA-Flow,Towards Anytime Optical Flow Estimation with Event Cameras,Sensors 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,保留 anytime 光流先验,['https://arxiv.org/abs/2307.05033']
MAIN-R227,TMA,TMA: Temporal Motion Aggregation for Event-based Optical Flow,ICCV 2023,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,事件时间聚合先验,['https://arxiv.org/abs/2303.11629']
MAIN-R228,E-RAFT,E-RAFT: Dense Optical Flow from Event Cameras,3DV 2021,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,光流算法强先验,['https://arxiv.org/abs/2108.10552']
MAIN-R229,Spike-FlowNet,Spike-FlowNet: Event-based Optical Flow Estimation with Energy-Efficient Hybrid Neural Networks,ECCV 2020,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,混合 SNN 光流基线,['https://arxiv.org/abs/2003.06696']
MAIN-R230,EvGNN,EvGNN: An Event-driven Graph Neural Network Accelerator for Edge Vision,IEEE TCASAI 2024,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,事件图硬件先验,['https://arxiv.org/abs/2404.19489']
MAIN-R231,SENECA ANN vs SNN optical flow,Event-based Optical Flow on Neuromorphic Processor: ANN vs. SNN Comparison based on Activation Sparsification,Neural Networks 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,幅值/激活稀疏强先验,['https://arxiv.org/abs/2407.20421']
MAIN-R232,Motion-aware Event Suppression,Motion-aware Event Suppression for Event Cameras,RSS 2026,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,保留事件生产筛选候选,['https://arxiv.org/abs/2602.23204']
MAIN-R233,Learning Normal Flow,Learning Normal Flow Directly From Event Neighborhoods,ICCV 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,保留另模型候选,['https://arxiv.org/abs/2412.11284']
MAIN-R234,SciFlow,SciFlow: Empowering Lightweight Optical Flow Models with Self-Cleaning Iterations,CVPR Workshops 2024,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,迭代清理强先验,['https://arxiv.org/abs/2404.08135']
MAIN-R235,DFlow / Context-aware iteration policy,Context-Aware Iteration Policy Network for Efficient Optical Flow Estimation,AAAI 2024,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,自适应迭代强先验,['https://arxiv.org/abs/2312.07180']
MAIN-R236,ESDA,A Composable Dynamic Sparse Dataflow Architecture for Efficient Event-based Vision Processing on FPGA,ACM FPGA 2024,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,事件稀疏数据流强先验,['https://arxiv.org/abs/2401.05626']
MAIN-R237,HOMI,HOMI: Ultra-Fast EdgeAI platform for Event Cameras,arXiv 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,仅他 AI 提及/身份核查,['https://arxiv.org/abs/2508.12637']
MAIN-R238,SSER,"Self-Supervised Event Representations: Towards Accurate, Real-Time Perception on SoC FPGAs",SPIE Real-time Processing workshop 投稿/展示 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,仅调研/待迁移,['https://arxiv.org/abs/2505.07556']
MAIN-R239,EFGCN,Embedded Graph Convolutional Networks for Real-Time Event Data Processing on SoC FPGAs,Journal of Systems Architecture 2026,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,事件图硬件先验,['https://arxiv.org/abs/2406.07318']
MAIN-R240,3DS-ISC,3D Stack In-Sensor-Computing (3DS-ISC): Accelerating Time-Surface Construction for Neuromorphic Event Cameras,arXiv 2025,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,仅他 AI 提及/身份核查,['https://arxiv.org/abs/2512.20073']
MAIN-R241,hARMS,hARMS: A Hardware Acceleration Architecture for Real-Time Event-Based Optical Flow,IEEE Access 2022,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,事件光流硬件先验,['https://arxiv.org/abs/2112.06772']
MAIN-R242,SNE,SNE: an Energy-Proportional Digital Accelerator for Sparse Event-Based Convolutions,DATE 2022,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,稀疏事件卷积强底座,['https://arxiv.org/abs/2204.10687']
MAIN-R243,Kraken,Kraken: A Direct Event/Frame-Based Multi-sensor Fusion SoC for Ultra-Efficient Visual Processing in Nano-UAVs,arXiv 2022,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,事件/帧融合 SoC 先验,['https://arxiv.org/abs/2209.01065']
MAIN-R244,TrueNorth spiking optical flow,Spiking Optical Flow for Event-based Sensors Using IBM's TrueNorth Neurosynaptic System,IEEE TBioCAS 2018,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,事件光流系统先验,['https://arxiv.org/abs/1710.09820']
MAIN-R245,AT-LIF / Activity Pruning,Activity Pruning for Efficient Spiking Neural Networks,NeurIPS 2025,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://proceedings.neurips.cc/paper_files/paper/2025/file/fa12d67b5939c37ea8a4659c31a08d2c-Paper-Conference.pdf']
MAIN-R246,S3Net,S3Net: Spatiotemporally Separated Sparse Network for Neuromorphic Vision Processing,AAAI 2026,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://ojs.aaai.org/index.php/AAAI/article/view/42467']
MAIN-R247,SAST,完整题名待核；SAST,CVPR 2024,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://arxiv.org/html/2404.01882v1']
MAIN-R248,SpikePack,完整题名待核；SpikePack,ICCV 2025,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://arxiv.org/html/2501.14484']
MAIN-R249,TS-LIF,完整题名待核；TS-LIF,ICLR 2025,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://proceedings.iclr.cc/paper_files/paper/2025/file/45bd303ea32a8193d3c19de5d5eaf138-Paper-Conference.pdf']
MAIN-R250,SpikingSSMs,完整题名待核；SpikingSSMs,AAAI 2025,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://ojs.aaai.org/index.php/AAAI/article/download/34245/36400']
MAIN-R251,α-XNOR SSA,Rethinking Spiking Self-Attention Mechanism: Implementing α-XNOR Similarity Calculation in Spiking Transformers,CVPR 2025,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://openaccess.thecvf.com/content/CVPR2025/papers/Xiao_Rethinking_Spiking_Self-Attention_Mechanism_Implementing_a-XNOR_Similarity_Calculation_in_Spiking_CVPR_2025_paper.pdf']
MAIN-R252,SQKformer,SQKformer: Spiking sparse QKformer with adaptive batch normalization for membrane potential,Neurocomputing 2026,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://www.sciencedirect.com/science/article/pii/S0925231226000639']
MAIN-R253,Spiking ST-former,Spiking ST-former: enhancing spatio-temporal modeling in spiking transformers via integrated self-attention mechanisms,The Visual Computer 2025,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,"['https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5107273', 'https://doi.org/10.1007/s00371-025-04173-4']"
MAIN-R254,Spikformer,Spikformer: When Spiking Neural Network Meets Transformer,ICLR 2023,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://arxiv.org/abs/2209.15425']
MAIN-R255,Spike-driven Transformer,Spike-driven Transformer,NeurIPS 2023,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://arxiv.org/abs/2307.01694']
MAIN-R256,Spike-driven Transformer V2 / Meta-SpikeFormer,Spike-driven Transformer V2: Meta Spiking Neural Network Architecture Inspiring the Design of Next-generation Neuromorphic Chips,ICLR 2024,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://arxiv.org/abs/2404.03663']
MAIN-R257,SEW-ResNet,Deep Residual Learning in Spiking Neural Networks,NeurIPS 2021,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://arxiv.org/abs/2102.04159']
MAIN-R258,Ternary Spike,Ternary Spike: Learning Ternary Spikes for Spiking Neural Networks,AAAI 2024,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://ojs.aaai.org/index.php/AAAI/article/download/29114/30106']
MAIN-R259,MLF neuron / Feng et al.,完整题名待核；MLF neuron / Feng et al.,IJCAI（旧笔记声称） 2022,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,保留方法或强对照,[]
MAIN-R260,EEMFlow,Efficient Meshflow and Optical Flow Estimation from Event Cameras,CVPR 2024,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://openaccess.thecvf.com/content/CVPR2024/papers/Luo_Efficient_Meshflow_and_Optical_Flow_Estimation_from_Event_Cameras_CVPR_2024_paper.pdf']
MAIN-R261,EV-FlowNet,EV-FlowNet: Self-Supervised Optical Flow Estimation for Event-based Cameras,Robotics: Science and Systems 2018,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://arxiv.org/abs/1802.06898']
MAIN-R262,STE-FlowNet,完整题名待核；STE-FlowNet,AAAI 2022,paper,SNN、神经元与事件光流,metadata_or_list,already_inventoried,literature_audit_20260909,保留方法或强对照,[]
MAIN-R263,Neuromorphic Optical Flow and Real-time Implementation,Neuromorphic Optical Flow and Real-time Implementation with Event Cameras,CVPR Workshops 2023,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://arxiv.org/abs/2304.07139']
MAIN-R264,REVIO,REVIO: Range- and Event-Based Visual-Inertial Odometry for Bio-Inspired Sensors,Biomimetics 2022,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://pmc.ncbi.nlm.nih.gov/articles/PMC9624318/']
MAIN-R265,Event-based Vision Survey,Event-Based Vision: A Survey,IEEE TPAMI 2022,paper,SNN、神经元与事件光流,method_or_partial,already_inventoried,literature_audit_20260909,保留方法或强对照,['https://doi.org/10.1109/TPAMI.2020.3008413']
MAIN-R266,SpikeSim,完整题名待核；SpikeSim,IEEE TCAD（本地记录） 2023,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,纳入相关工作；未完整迁移,[]
MAIN-R267,SNNIM,SNNIM: A 10T-SRAM based Spiking-Neural-Network-In-Memory Architecture with Capacitance Computation,ISCAS 2022,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,纳入相关工作；未完整迁移,[]
MAIN-R268,IMPULSE,IMPULSE: A 65-nm Digital Compute-in-Memory Macro With Fused Weights and Membrane Potential for Spike-Based Sequential Learning Tasks,IEEE Solid-State Circuits Letters 2021,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,纳入相关工作；未完整迁移,['https://arxiv.org/html/2105.08217v1']
MAIN-R269,SpiDR,完整题名待核；SpiDR,arXiv 2024,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,纳入相关工作；未完整迁移,['https://arxiv.org/html/2411.02854v1']
MAIN-R270,Zhang optical-flow processor,完整题名待核；Zhang optical-flow processor,CICC 2026,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,纳入相关工作；未完整迁移,[]
MAIN-R271,Eventor,完整题名待核；Eventor,DAC 2022,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,纳入相关工作；未完整迁移,['https://doi.org/10.1145/3489517.3530452']
MAIN-R272,EDFLOW,完整题名待核；EDFLOW,IEEE TCSVT 2022,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,纳入相关工作；未完整迁移,['https://doi.org/10.1109/TCSVT.2022.3156653']
MAIN-R273,BMOF,完整题名待核；BMOF,ISCAS 2017,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,纳入相关工作；未完整迁移,['https://doi.org/10.1109/ISCAS.2017.8050295']
MAIN-R274,Event-based time-difference encoder / Gutierrez-Galan,完整题名待核；Event-based time-difference encoder / Gutierrez-Galan,IEEE TNNLS 2021,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,纳入相关工作；未完整迁移,['https://doi.org/10.1109/TNNLS.2021.3108047']
MAIN-R275,EvT,完整题名待核；EvT,CVPR Workshops 2022,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,纳入相关工作；未完整迁移,['https://doi.org/10.1109/CVPRW56347.2022.00301']
MAIN-R276,FPGA event vision survey,完整题名待核；FPGA event vision survey,DSD / arXiv 2024,paper,SNN、神经元与事件光流,unclear,already_inventoried,literature_audit_20260909,纳入相关工作；未完整迁移,['https://arxiv.org/abs/2407.08356']
