uid,name,full_title,venue,venue_norm,entity_type,precision_tier,relevance_score,precision_status,depth_bucket,read_flag,f_candidates,arxiv_id,source_url,abstract
ARX-047,Sparsity-Aware Streaming SNN Accelerator with Output-Channel Dataflow for Automa,Sparsity-Aware Streaming SNN Accelerator with Output-Channel Dataflow for Automatic Modulation Classification,arXiv 2026,arXiv 2026,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,new_this_round,"F1,F2",2601.02613,https://arxiv.org/abs/2601.02613v1,"The rapid advancement of wireless communication technologies, including 5G, emerging 6G networks, and the large-scale deployment of the Internet of Things (IoT), has intensified the need for efficient spectrum utilization. Automatic modulation classification (AMC) plays a vital role in cognitive rad"
ARX-053,Sparse Compressed Spiking Neural Network Accelerator for Object Detection,Sparse Compressed Spiking Neural Network Accelerator for Object Detection,arXiv 2022,arXiv 2022,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,new_this_round,F2,2205.00778,https://arxiv.org/abs/2205.00778v1,"Spiking neural networks (SNNs), which are inspired by the human brain, have recently gained popularity due to their relatively simple and low-power hardware for transmitting binary spikes and highly sparse activation maps. However, because SNNs contain extra time dimension information, the SNN accel"
ARX-055,"Training for temporal sparsity in deep neural networks, application in video pro","Training for temporal sparsity in deep neural networks, application in video processing",arXiv 2021,arXiv 2021,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,new_this_round,"F2,F4",2107.07305,https://arxiv.org/abs/2107.07305v1,"Activation sparsity improves compute efficiency and resource utilization in sparsity-aware neural network accelerators. As the predominant operation in DNNs is multiply-accumulate (MAC) of activations with weights to compute inner products, skipping operations where (at least) one of the two operand"
ARX-056,IMPULSE: A 65nm Digital Compute-in-Memory Macro with Fused Weights and Membrane ,IMPULSE: A 65nm Digital Compute-in-Memory Macro with Fused Weights and Membrane Potential for Spike-based Sequential Learning Tasks,arXiv 2021,arXiv 2021,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,new_this_round,,2105.08217,https://arxiv.org/abs/2105.08217v1,"The inherent dynamics of the neuron membrane potential in Spiking Neural Networks (SNNs) allows processing of sequential learning tasks, avoiding the complexity of recurrent neural networks. The highly-sparse spike-based computations in such spatio-temporal data can be leveraged for energy-efficienc"
ARX-120,Sol-Attn: Accelerating Video Generation Inference via On-the-Fly Attention Spars,Sol-Attn: Accelerating Video Generation Inference via On-the-Fly Attention Sparsification,arXiv 2026,arXiv 2026,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,new_this_round,"F2,F7",2607.24027,https://arxiv.org/abs/2607.24027v1,"Diffusion transformers are essential for high-fidelity video generation, but long token sequences make attention a dominant inference bottleneck. Training-free dynamic sparse attention alleviates this bottleneck by computing only selected key-value blocks, yet existing methods struggle to sparsify a"
ARX-123,Opto-ViT-v2: Noise-Resilient On-Chip Fine-Tuning for Photonic Near-Sensor Vision,Opto-ViT-v2: Noise-Resilient On-Chip Fine-Tuning for Photonic Near-Sensor Vision Transformer Accelerators,arXiv 2026,arXiv 2026,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,new_this_round,F7,2607.19421,https://arxiv.org/abs/2607.19421v1,Silicon-photonic (SiPh) accelerators have emerged as a promising platform for Vision Transformer (ViT) inference by performing matrix multiplications on microring-resonator (MRR) banks with high throughput and energy efficiency. Extending these platforms to support on-chip fine-tuning remains challe
ARX-163,The SpiNNaker2 chip: a many-core platform for flexible and scalable brain-inspir,The SpiNNaker2 chip: a many-core platform for flexible and scalable brain-inspired computing,arXiv 2026,arXiv 2026,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,new_this_round,,2607.24396,https://arxiv.org/abs/2607.24396v1,"In deep learning, efficiency gets more and more important to compensate for the ongoing growth in model sizes and applications. Neuromorphic hardware has long been advocated as an upcoming alternative to deep networks, taking inspiration from the brain for achieving unprecedented energy efficiency. "
ARX-164,The Sparsity Tax: Weight Sparsity Trade-offs in Event-Driven SIMD and SIMT Neuro,The Sparsity Tax: Weight Sparsity Trade-offs in Event-Driven SIMD and SIMT Neuromorphic Cores,arXiv 2026,arXiv 2026,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,new_this_round,"F1,F2",2607.22790,https://arxiv.org/abs/2607.22790v1,"Event-driven neuromorphic inference exploits activation sparsity by updating neuron state only on spikes. However, weight sparsity introduces irregular gather-style updates that undermine lockstep Single Instruction Multiple Data (SIMD) execution. We call the resulting overheads in control, metadata"
ARX-167,Mega: A 22 nm Convolutional Spiking Neural Network Accelerator Achieving 0.375 p,Mega: A 22 nm Convolutional Spiking Neural Network Accelerator Achieving 0.375 pJ/SOP for Efficient Edge Vision,arXiv 2026,arXiv 2026,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,new_this_round,,2606.30039,https://arxiv.org/abs/2606.30039v1,"Convolutional Spiking Neural Networks (SNN) offer the potential for highly energy-efficient vision processing by exploiting sparse, event-driven computation. However, existing SNN accelerators underutilize the inherent parallelism of convolutional layers and lack the flexibility to accommodate varyi"
ARX-168,VQ4SNN: Vector Quantization for Memory-Efficient FPGA Spiking Neural Networks,VQ4SNN: Vector Quantization for Memory-Efficient FPGA Spiking Neural Networks,arXiv 2026,arXiv 2026,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,new_this_round,,2606.20675,https://arxiv.org/abs/2606.20675v1,"Spiking Neural Networks (SNNs) offer an energy-efficient paradigm for edge AI, making them attractive for hardware acceleration. However, deploying dense SNNs on FPGAs is constrained by limited on-chip memory for synaptic weight storage. To address this bottleneck, we propose VQ4SNN, a hardware-awar"
ARX-173,A PVT-Resilient Subthreshold SRAM-Based In-Memory Computing Accelerator with In-,A PVT-Resilient Subthreshold SRAM-Based In-Memory Computing Accelerator with In-Situ Regulation for Energy-Efficient Spiking Neural Networks,arXiv 2026,arXiv 2026,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,new_this_round,,2605.00319,https://arxiv.org/abs/2605.00319v1,"This paper presents a PVT-resilient, subthreshold SRAM-based computing-in-memory (CIM) macro tailored for energy-efficient spiking neural networks (SNNs). The macro integrates in-situ current sensors and distributed voltage regulators to enable robust large-scale (1024 wordlines, 1304 bitlines and 1"
ARX-190,$SpikePack$: Enhanced Information Flow in Spiking Neural Networks with High Hard,$SpikePack$: Enhanced Information Flow in Spiking Neural Networks with High Hardware Compatibility,arXiv 2025,arXiv 2025,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,new_this_round,,2501.14484,https://arxiv.org/abs/2501.14484v2,"Spiking Neural Networks (SNNs) hold promise for energy-efficient, biologically inspired computing. We identify substantial informatio loss during spike transmission, linked to temporal dependencies in traditional Leaky Integrate-and-Fire (LIF) neuron-a key factor potentially limiting SNN performance"
MAIN-R048,BitParticle,BitParticle: Partializing Sparse Dual-Factors to Build Quasi-Synchronizing MAC Arrays for Energy-efficient DNNs,arXiv 2025,arXiv 2025,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,already_inventoried,,2507.09780,['https://arxiv.org/abs/2507.09780'],"Bit-level sparsity in quantized deep neural networks (DNNs) offers significant potential for optimizing Multiply-Accumulate (MAC) operations. However, two key challenges still limit its practical exploitation. First, conventional bit-serial approaches cannot simultaneously leverage the sparsity of b"
MAIN-R053,ANT,ANT: Exploiting Adaptive Numerical Data Type for Low-Bit Deep Neural Network Quantization,MICRO 2022,MICRO 2022,paper,P0_high_rel,52,metadata_only,metadata_or_list,already_inventoried,,,['https://www.microsoft.com/en-us/research/publication/ant-exploiting-adaptive-numerical-data-type-for-low-bit-deep-neural-network-quantization/'],
MAIN-R067,Skydiver,Skydiver: A Spiking Neural Network Accelerator Exploiting Spatio-Temporal Workload Balance,IEEE TCAD（旧表称） 2022 / IEEE TCAD 2022,IEEE TCAD（旧表称） 2022 / IEEE TCAD 2022,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,already_inventoried,"F1,F2",2203.07516,['https://arxiv.org/abs/2203.07516'],"Spiking Neural Networks (SNNs) are developed as a promising alternative to Artificial Neural networks (ANNs) due to their more realistic brain-inspired computing models. SNNs have sparse neuron firing over time, i.e., spatio-temporal sparsity; thus, they are useful to enable energy-efficient hardwar"
MAIN-R073,SpAtten,SpAtten: Efficient Sparse Attention Architecture with Cascade Token and Head Pruning,HPCA 2021,HPCA 2021,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,already_inventoried,"F1,F2,F7",2012.09852,['https://arxiv.org/abs/2012.09852'],"The attention mechanism is becoming increasingly popular in Natural Language Processing (NLP) applications, showing superior performance than convolutional and recurrent architectures. However, attention becomes the compution bottleneck because of its quadratic computational complexity to input leng"
MAIN-R081,HeatViT,HeatViT: Hardware-Efficient Adaptive Token Pruning for Vision Transformers,HPCA 2023,HPCA 2023,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,already_inventoried,"F1,F7",2211.08110,"['https://arxiv.org/abs/2211.08110', 'https://doi.org/10.1109/HPCA56546.2023.10071047']","While vision transformers (ViTs) have continuously achieved new milestones in the field of computer vision, their sophisticated network architectures with high computation and memory costs have impeded their deployment on resource-limited edge devices. In this paper, we propose a hardware-efficient "
MAIN-R088,FABNet,Adaptable Butterfly Accelerator for Attention-based NNs via Hardware and Algorithm Co-design,MICRO 2022,MICRO 2022,paper,P0_high_rel,52,arxiv_abstract_verified,metadata_or_list,already_inventoried,F7,2209.09570,['https://arxiv.org/abs/2209.09570'],"Attention-based neural networks have become pervasive in many AI tasks. Despite their excellent algorithmic performance, the use of the attention mechanism and feed-forward network (FFN) demands excessive computational and memory resources, which often compromises their hardware performance. Althoug"
MAIN-R205,Efficient synaptic-delay implementation,Efficient Synaptic Delay Implementation in Digital Event-Driven AI Accelerators,arXiv 2025,arXiv 2025,paper,P0_high_rel,52,arxiv_abstract_verified,unclear,already_inventoried,F1,2501.13610,['https://arxiv.org/abs/2501.13610'],"Synaptic delay parameterization of neural network models have remained largely unexplored but recent literature has been showing promising results, suggesting the delay parameterized models are simpler, smaller, sparser, and thus more energy efficient than similar performing (e.g. task accuracy) non"
MAIN-R285,Spike-CIM,Spike-CIM: A 290TOPS/W Spike-Encoding Sparsity-Adaptive Computing-in-Memory Macro with Differential Charge-Domain Integrate-and-Fire,2022 IEEE Asian Solid-State Circuits Conference (A-SSCC) 2022,2022 IEEE Asian Solid-State Circuits Conference (A-SSCC) 2022,paper,P0_high_rel,52,prior_method_ok_needs_spotcheck,method_or_partial,already_inventoried,,,['https://doi.org/10.1109/A-SSCC56115.2022.9980797'],
MAIN-R327,Tu Bitline-Transpose CIM Transformer,A 28nm 15.59µJ/Token Full-Digital Bitline-Transpose CIM-Based Sparse Transformer Accelerator with Pipeline/Parallel Reconfigurable Modes,ISSCC 2022,ISSCC 2022,paper,P0_high_rel,52,metadata_only,metadata_or_list,already_inventoried,F7,,['https://doi.org/10.1109/ISSCC42614.2022.9731645'],
MAIN-R348,CFMP / ConvFormer chip,A 28nm 0.22μJ/Token Memory-Compute-Intensity-Aware CNN-Transformer Accelerator with Hybrid-Attention-Based Layer-Fusion and Cascaded Pruning for Semantic-Segmentation,ISSCC 2025,ISSCC 2025,paper,P0_high_rel,52,arxiv_abstract_verified,unclear,already_inventoried,"F1,F2,F7",2512.17555,['https://arxiv.org/abs/2512.17555'],"This work presents a 28nm 13.93mm2 CNN-Transformer accelerator for semantic segmentation, achieving 3.86-to-10.91x energy reduction over previous designs. It features a hybrid attention unit, layer-fusion scheduler, and cascaded feature-map pruner, with peak energy efficiency of 52.90TOPS/W (INT8)."
MUSHA-AT004,Sanger,Sanger: sparse attention accelerator,MICRO 2021,MICRO 2021,paper,P0_high_rel,52,metadata_only,unclear,already_inventoried_musha_incremental,F7,,,
MUSHA-AT005,FACT,FACT: sparse/approx attention accelerator,ISCA 2023,ISCA 2023,paper,P0_high_rel,52,metadata_only,unclear,already_inventoried_musha_incremental,F7,,,
MUSHA-CM003,Spike-CIM,Spike-CIM sparsity-adaptive charge-domain IF,待核,待核,paper,P0_high_rel,52,metadata_only,unclear,already_inventoried_musha_incremental,,,,
MUSHA-IS004,Tu_ISSCC22_BitlineTranspose_CIM,Bitline-transpose CIM-based sparse Transformer accelerator,ISSCC 2022,ISSCC 2022,paper,P0_high_rel,52,metadata_only,unclear,already_inventoried_musha_incremental,F7,,,
ARX-020,Anti-Gravity Walking by a Flying Humanoid Robot via Thrust-Rate Input Whole-Body,Anti-Gravity Walking by a Flying Humanoid Robot via Thrust-Rate Input Whole-Body Model Predictive Control,arXiv 2026,arXiv 2026,paper,P0_high_rel,50,arxiv_abstract_verified,metadata_or_list,new_this_round,"F1,F2",2609.07544,https://arxiv.org/abs/2609.07544v1,"Flying humanoids are expected to perform tasks in diverse environments, while their existing locomotion is mainly limited to aerial flight and ground walking. The capability to move in complex three-dimensional space can greatly expand their application range. For such walking motion on ceilings and"
ARX-025,The Sparsity Ceiling: Where Spiking Networks Can and Cannot Trade Activity for E,The Sparsity Ceiling: Where Spiking Networks Can and Cannot Trade Activity for Energy,arXiv 2026,arXiv 2026,paper,P0_high_rel,50,arxiv_abstract_verified,metadata_or_list,new_this_round,"F2,F7",2607.26648,https://arxiv.org/abs/2607.26648v1,"Spiking neural networks (SNNs) are promoted as an energy-efficient substrate because sparse, event-driven activity replaces dense multiply-accumulates with cheap accumulates. We argue the energy dividend of sparsity is not a property of SNNs but of the task. Holding architecture fixed and swapping o"
ARX-027,SpikeDS: Dual Sparsity Spikformer for Perineural Invasion Prediction in 3D MRI,SpikeDS: Dual Sparsity Spikformer for Perineural Invasion Prediction in 3D MRI,arXiv 2026,arXiv 2026,paper,P0_high_rel,50,arxiv_abstract_verified,metadata_or_list,new_this_round,"F1,F2,F7",2607.11986,https://arxiv.org/abs/2607.11986v1,"Perineural invasion (PNI) is associated with poor prognosis in cholangiocarcinoma (CCA). However, its detection from 3D MRI remains challenging due to the subtle and spatially heterogeneous imaging signatures at the tumor periphery. Capturing such spatially sparse cues necessitates volumetric analys"
ARX-031,Otters++: A Time-to-first-spike Based Energy Efficient Optical Spiking Transform,Otters++: A Time-to-first-spike Based Energy Efficient Optical Spiking Transformer,arXiv 2026,arXiv 2026,paper,P0_high_rel,50,arxiv_abstract_verified,metadata_or_list,new_this_round,,2606.13016,https://arxiv.org/abs/2606.13016v1,"Spiking neural networks (SNNs) are promising for energy-efficient inference, and time-to-first-spike (TTFS) coding is especially attractive because each neuron fires at most once. In practice, however, this benefit is often reduced by the cost of computing a temporal decay term and multiplying it by"
ARX-032,SNN-MLIR: An MLIR Dialect for Compiling Neuromorphic SNNs from NIR to Bare-Metal,SNN-MLIR: An MLIR Dialect for Compiling Neuromorphic SNNs from NIR to Bare-Metal C,arXiv 2026,arXiv 2026,paper,P0_high_rel,50,arxiv_abstract_verified,metadata_or_list,new_this_round,,2606.09213,https://arxiv.org/abs/2606.09213v1,"Spiking neural networks (SNNs) are increasingly trained in a wide range of frameworks (SnnTorch, Lava, Norse, and others) each with its own model format. The Neuromorphic Intermediate Representation (NIR) addresses this fragmentation by providing a common, framework-independent format for exchanging"
ARX-038,SymbolicLight V1: Spike-Gated Dual-Path Language Modeling at High Encoder Spike ,SymbolicLight V1: Spike-Gated Dual-Path Language Modeling at High Encoder Spike Sparsity,arXiv 2026,arXiv 2026,paper,P0_high_rel,50,arxiv_abstract_verified,metadata_or_list,new_this_round,"F2,F7",2605.21333,https://arxiv.org/abs/2605.21333v3,"Natively trained spiking language models must preserve information across time while operating through sparse binary activations, a combination that has produced a persistent quality gap relative to dense Transformers. We present SymbolicLight V1, a spike-gated dual-path language model that couples "
ARX-041,Encoding and Decoding Temporal Signals with Spiking Bandpass Wavelets,Encoding and Decoding Temporal Signals with Spiking Bandpass Wavelets,arXiv 2026,arXiv 2026,paper,P0_high_rel,50,arxiv_abstract_verified,metadata_or_list,new_this_round,,2605.09770,https://arxiv.org/abs/2605.09770v1,"Spike-based encodings are sparse and energy-efficient, but have largely been formulated probabilistically, disconnected from most signal processing literature. We recast spike encoders as time-causal wavelet frames with quantitative bandwidths and reconstruction error bounds. The proposed wavelets p"
ARX-048,Otters: An Energy-Efficient SpikingTransformer via Optical Time-to-First-Spike E,Otters: An Energy-Efficient SpikingTransformer via Optical Time-to-First-Spike Encoding,arXiv 2025,arXiv 2025,paper,P0_high_rel,50,arxiv_abstract_verified,metadata_or_list,new_this_round,,2509.18968,https://arxiv.org/abs/2509.18968v1,"Spiking neural networks (SNNs) promise high energy efficiency, particularly with time-to-first-spike (TTFS) encoding, which maximizes sparsity by emitting at most one spike per neuron. However, such energy advantage is often unrealized because inference requires evaluating a temporal decay function "
ARX-162,A Time-Multiplexed Spiking Neural Network Accelerator with Pipelined Readout for,A Time-Multiplexed Spiking Neural Network Accelerator with Pipelined Readout for FPGA Inference,arXiv 2026,arXiv 2026,paper,P0_high_rel,50,arxiv_abstract_verified,metadata_or_list,new_this_round,,2608.00595,https://arxiv.org/abs/2608.00595v1,Spiking Neural Networks (SNNs) provide a power-efficient neuromorphic alternative to traditional artificial neural networks by processing information through discrete temporal events. This paper presents the design and Field-Programmable Gate Array (FPGA) implementation of an inference-only SNN acce
ARX-170,SupraSNN: Exploiting Synapse-Level Parallelism in Spiking Neural Network Acceler,SupraSNN: Exploiting Synapse-Level Parallelism in Spiking Neural Network Accelerators through Co-Optimized Mapping and Scheduling,arXiv 2026,arXiv 2026,paper,P0_high_rel,50,arxiv_abstract_verified,metadata_or_list,new_this_round,,2606.13354,https://arxiv.org/abs/2606.13354v1,"Spiking Neural Networks (SNNs) offer a brain-inspired path toward highly efficient computation, but their practical deployment is constrained by the challenge of managing and executing their massive parallelism on physical hardware. This problem mirrors the historical challenge in processor design o"
ARX-172,Heterogeneous SoC Integrating an Open-Source Recurrent SNN Accelerator for Neuro,Heterogeneous SoC Integrating an Open-Source Recurrent SNN Accelerator for Neuromorphic Edge Computing on FPGA,arXiv 2026,arXiv 2026,paper,P0_high_rel,50,arxiv_abstract_verified,metadata_or_list,new_this_round,,2605.12217,https://arxiv.org/abs/2605.12217v1,The growing popularity of Spiking Neural Networks (SNNs) and their applications has led to a significant fast-paced increase of neuromorphic architectures capable of mimicking the spike-based data processing typical of biological neurons. The efficient power consumption and parallel computing capabi
MAIN-R068,COMPASS,COMPASS: SRAM-Based Computing-in-Memory SNN Accelerator with Adaptive Spike Speculation,MICRO 2024,MICRO 2024,paper,P0_high_rel,50,metadata_only,metadata_or_list,already_inventoried,,,['https://mxhx7199.github.io/publications/'],
MAIN-R213,SpikePool,SpikePool: Event-driven Spiking Transformer with Pooling Attention,arXiv 2025,arXiv 2025,paper,P0_high_rel,50,arxiv_abstract_verified,unclear,already_inventoried,F7,2510.12102,['https://arxiv.org/abs/2510.12102'],"Building on the success of transformers, Spiking Neural Networks (SNNs) have increasingly been integrated with transformer architectures, leading to spiking transformers that demonstrate promising performance on event-based vision tasks. However, despite these empirical successes, there remains limi"
MAIN-R254,Spikformer,Spikformer: When Spiking Neural Network Meets Transformer,ICLR 2023,ICLR 2023,paper,P0_high_rel,50,arxiv_abstract_verified,method_or_partial,already_inventoried,"F1,F7",2209.15425,['https://arxiv.org/abs/2209.15425'],"We consider two biologically plausible structures, the Spiking Neural Network (SNN) and the self-attention mechanism. The former offers an energy-efficient and event-driven paradigm for deep learning, while the latter has the ability to capture feature dependencies, enabling Transformer to achieve g"
MAIN-R255,Spike-driven Transformer,Spike-driven Transformer,NeurIPS 2023,NeurIPS 2023,paper,P0_high_rel,50,arxiv_abstract_verified,method_or_partial,already_inventoried,"F1,F7",2307.01694,['https://arxiv.org/abs/2307.01694'],"Spiking Neural Networks (SNNs) provide an energy-efficient deep learning option due to their unique spike-based event-driven (i.e., spike-driven) paradigm. In this paper, we incorporate the spike-driven paradigm into Transformer by the proposed Spike-driven Transformer with four unique properties: 1"
MAIN-R256,Spike-driven Transformer V2 / Meta-SpikeFormer,Spike-driven Transformer V2: Meta Spiking Neural Network Architecture Inspiring the Design of Next-generation Neuromorphic Chips,ICLR 2024,ICLR 2024,paper,P0_high_rel,50,arxiv_abstract_verified,method_or_partial,already_inventoried,"F1,F2,F4,F7",2404.03663,['https://arxiv.org/abs/2404.03663'],"Neuromorphic computing, which exploits Spiking Neural Networks (SNNs) on neuromorphic chips, is a promising energy-efficient alternative to traditional AI. CNN-based SNNs are the current mainstream of neuromorphic computing. By contrast, no neuromorphic chips are designed especially for Transformer-"
MAIN-R267,SNNIM,SNNIM: A 10T-SRAM based Spiking-Neural-Network-In-Memory Architecture with Capacitance Computation,ISCAS 2022,ISCA 2022,paper,P0_high_rel,50,metadata_only,unclear,already_inventoried,,,[],
MAIN-R297,Neuro-CIM JSSC extension,Neuro-CIM: ADC-Less Neuromorphic Computing-in-Memory Processor With Operation Gating/Stopping and Digital–Analog Networks,IEEE JSSC 2023,JSSC 2023,paper,P0_high_rel,50,metadata_only,unclear,already_inventoried,,,[],
MAIN-R298,Clock-free multilevel-event SNN,An 82-nW 0.53-pJ/SOP Clock-Free Spiking Neural Network With 40-µs Latency for AIoT Wake-Up Functions Using a Multilevel-Event-Driven Bionic Architecture and Computing-in-Memory Technique,IEEE TCAS-I 2023,TCAS 2023,paper,P0_high_rel,50,prior_method_ok_needs_spotcheck,method_or_partial,already_inventoried,,,[],
MAIN-R358,Eyeriss chip,Eyeriss: An Energy-Efficient Reconfigurable Accelerator for Deep Convolutional Neural Networks,ISSCC 2016；JSSC 2017,ISSCC 2016,paper,P0_high_rel,50,metadata_only,metadata_or_list,already_inventoried,,,['https://doi.org/10.1109/JSSC.2016.2616357'],
MUSHA-CM005,Park_TCAS-I_TD_SNN_CIM,Time-domain async SNN CIM (Park TCAS-I),IEEE TCAS-I,TCAS,paper,P0_high_rel,50,metadata_only,unclear,already_inventoried_musha_incremental,,,,
MUSHA-SN005,SpinalFlow,SpinalFlow: An Architecture and Dataflow Targeting Spiking Neural Networks,ISCA 2020,ISCA 2020,paper,P0_high_rel,50,metadata_only,unclear,already_inventoried_musha_incremental,,,,
MUSHA-SN007,STELLAR,STELLAR: Few-Spikes neuron with spatiotemporal Row-Stationary dataflow,HPCA 2024,HPCA 2024,paper,P0_high_rel,50,metadata_only,unclear,already_inventoried_musha_incremental,,,,
MUSHA-SN008,FireFly,FireFly: A High-Throughput Hardware Accelerator for Spiking Neural Networks,IEEE TVLSI 2023,TVLSI 2023,paper,P0_high_rel,50,metadata_only,unclear,already_inventoried_musha_incremental,F2,,,
MUSHA-SN009,FireFly-T,FireFly-T: sparse engine + binary AND-PopCount attention for Spike Transformer,arXiv 2025,arXiv 2025,paper,P0_high_rel,50,metadata_only,unclear,already_inventoried_musha_incremental,F7,,,
MUSHA-SN011,COMPASS,COMPASS: SRAM-CIM with adaptive spike speculation,MICRO 2024,MICRO 2024,paper,P0_high_rel,50,metadata_only,unclear,already_inventoried_musha_incremental,,,,
MUSHA-SN019,ISSCC22_UED_SNN,Ultimate Event-Driven SNN wake-up SoC,ISSCC 2022,ISSCC 2022,paper,P0_high_rel,50,metadata_only,unclear,already_inventoried_musha_incremental,,,,
OS2-022,finn,FINN dataflow compiler for quantized NNs on FPGA,open-source,open-source,open_source,P0_high_rel,50,opensource_inventory,open_source_inventory,new_this_round,,,https://github.com/Xilinx/finn,
OS2-027,Gemmini,Gemmini systolic array generator,open-source,open-source,open_source,P0_high_rel,50,opensource_inventory,open_source_inventory,new_this_round,,,https://github.com/ucb-bar/gemmini,
OS2-028,NVDLA,NVDLA open accelerator,open-source,open-source,open_source,P0_high_rel,50,opensource_inventory,open_source_inventory,new_this_round,,,https://github.com/nvdla/hw,
OS2-029,Scale-Sim,SCALE-Sim systolic simulator,open-source,open-source,open_source,P0_high_rel,50,opensource_inventory,open_source_inventory,new_this_round,,,https://github.com/scalesim-project/scale-sim-v2,
OS2-032,ZigZag,ZigZag DNN accelerator architecture exploration,open-source,open-source,open_source,P0_high_rel,50,opensource_inventory,open_source_inventory,new_this_round,,,https://github.com/KULeuven-MICAS/zigzag,
OS2-033,MAESTRO,MAESTRO dataflow analyzer,open-source,open-source,open_source,P0_high_rel,50,opensource_inventory,open_source_inventory,new_this_round,,,https://github.com/maestro-project/maestro,
ARX-021,Noise-Resilient Detection of Neuronal Spikes by a Hopf-Bifurcation Device,Noise-Resilient Detection of Neuronal Spikes by a Hopf-Bifurcation Device,arXiv 2026,arXiv 2026,paper,P0_high_rel,48,arxiv_abstract_verified,metadata_or_list,new_this_round,,2609.04949,https://arxiv.org/abs/2609.04949v1,"Detecting weak transient signals in noise is a persistent challenge in sensing, communication, and electrophysiology. Here, we demonstrate a physical weak-signal detector based on a semiconductor negative differential resistance (NDR) device operated near a Hopf bifurcation. A coherent input that pe"
ARX-022,Current-Limiting Control for Fault Ride-Through of LLC-based Solid-State Transfo,Current-Limiting Control for Fault Ride-Through of LLC-based Solid-State Transformer in Data Centers,arXiv 2026,arXiv 2026,paper,P0_high_rel,48,arxiv_abstract_verified,metadata_or_list,new_this_round,,2608.26595,https://arxiv.org/abs/2608.26595v2,"Solid-State Transformers (SSTs) are increasingly proposed as the interface between distribution grids and data centers due to flexible power flows and fast dynamic response. However, when a short-circuit fault occurs in a load branch, the SST with a voltage-source-type DC-DC stage is forced to shut "
MAIN-R065,Configurable CSA for Spiking Transformers,An Area-Efficient and Bit-Width Configurable Carry-Save Adder Tree for Spiking Transformers,2025 IEEE International Symposium on Circuits and Systems (ISCAS) 2025 / ISCAS 2025,ISCA 2025,paper,P0_high_rel,48,prior_method_ok_needs_spotcheck,method_or_partial,already_inventoried,,,['https://doi.org/10.1109/ISCAS56072.2025.11043823'],
MAIN-R076,ELSA (attention 2021),"ELSA: Hardware-Software Co-design for Efficient, Lightweight Self-Attention",ISCA 2021,ISCA 2021,paper,P0_high_rel,48,metadata_only,metadata_or_list,already_inventoried,F7,,"['https://taejunham.github.io/data/elsa_isca21.pdf', 'https://doi.org/10.1109/ISCA52012.2021.00060']",
MAIN-R328,C-Transformer,20.5 C-Transformer: A 2.6-18.1μJ/Token Homogeneous DNN-Transformer/Spiking-Transformer Processor with Big-Little Network and Implicit Weight Generation for Large Language Models,ISSCC 2024,ISSCC 2024,paper,P0_high_rel,48,metadata_only,metadata_or_list,already_inventoried,F7,,['https://doi.org/10.1109/ISSCC49657.2024.10454330'],
MUSHA-CR008,ISSCC25_ConvFormer,ISSCC 2025 23.2 ConvFormer author PDF,ISSCC 2025,ISSCC 2025,paper,P0_high_rel,48,metadata_only,unclear,already_inventoried_musha_incremental,,,,
MUSHA-IS005,C-Transformer_ISSCC24,C-Transformer homogeneous DNN/Spiking-Transformer processor,ISSCC 2024,ISSCC 2024,paper,P0_high_rel,48,metadata_only,unclear,already_inventoried_musha_incremental,F7,,,
MUSHA-OF012,ASNA-Flow,ASNA-Flow: Asynchronous Neuromorphic Accelerator for Real-Time Event-Based Optical Flow,IEEE TVLSI 2025,TVLSI 2025,paper,P0_high_rel,48,metadata_only,unclear,already_inventoried_musha_incremental,F7,,,
OS2-042,vLLM,vLLM paged attention serving (schedule/backpressure analogy control),open-source,open-source,open_source,P0_high_rel,48,opensource_inventory,open_source_inventory,new_this_round,F7,,https://github.com/vllm-project/vllm,
OS2-043,FlashAttention,FlashAttention,open-source,open-source,open_source,P0_high_rel,48,opensource_inventory,open_source_inventory,new_this_round,F7,,https://github.com/Dao-AILab/flash-attention,
OS2-044,xformers,xformers memory-efficient attention,open-source,open-source,open_source,P0_high_rel,48,opensource_inventory,open_source_inventory,new_this_round,F7,,https://github.com/facebookresearch/xformers,
