uid,name,source,depth,A,B,X_hint,f_or_stageB,boundary,idea_bullets,kill_gate
MAIN-R001,Prosperity,arxiv_2503.03379+本地excerpt,方法级（仅方法摘录窗口）+依据：ProSparsity 组合子串复用（exact/partial match）；线性复杂度启发式识别；流水线重叠识别与 GeMM；算法无关 spiking GeMM；摘录止于 Fig.2/背景，完整 RTL/森林细节可能截断,Product Sparsity（行间公共二进制子组合只算一次再复用）+ 运行时识别/调度流水线——作「多消费者共享部分和/模式复用」强底座与 F3 联合图对照（借入≠X；本地已有 Prosperity 探针负结果边界）。,仅 bit-sparsity 零跳过（PTB/Stellar 式）；稠密 Spiking GeMM；无执行序优化的朴素行扫描。,ProSparsity/部分和复用本身非本地标题级 X；差分须落到 lifting 源 DAG 上的公共虚节点/部分 lane（F3），而非再扫整 W 产品 mask 或复述 0.09% 级 mask 目标。,F1/F3/F7 相关；第二队列底座。不抢 Stage B（Stage B 仍是无 Prosperity 的 pure schedule compare）。,勿搬 7.4×/193× 等原作 PPA；摘录未含完整架构§细部；本地 G4/产品费用负结果只停已列布局，不杀家族；仅方法摘录窗口。,exact/partial match 作共享部分和语义对照 | 执行序对复用率的敏感性→对照 lifting 因子组打包序（F7） | 识别与计算重叠作「元数据开销须被掩盖」杀门叙事 | 与已有 Prosperity 三探针负结果联读，未试联合图挂源 DAG 仍保留,挂到 lifting 源 DAG 后同端口计划服务不优于 da4ml CSE+普通部分 lane，或相对无图端点净省过薄 → 停该联合图布局，保留家族。
MAIN-R212,SpiLiFormer,arxiv_2503.15986+本地excerpt,方法级（仅方法摘录窗口）+依据：§3.2 三级层次；§3.3 FF-LiDiff（Qs 分兴奋/抑制差后 SN→token mask）；§3.4 FB-LiDiff 双前传+可学习 prompt 反馈；α 平衡双 CE 损失,侧抑制差分注意力（兴奋−抑制）作 token 级 mask + 反馈通路二次前传——可作注意力路径活动整形与「有损共同完成/跳过冗余阶段」算法先验（借入≠X）。,标准 SSA/无抑制的 QKV；单前传无反馈；无 token mask 的全量注意力。,侧抑制/双前传≠ lifting 结构化 T10/源字删字 X；本地差分在 r1 消费者接口与并集费用，不在 ImageNet 注意力热图。,F2/F7 弱相关（token mask/反馈跳过 Stage1–2 冗余）；旁路主岛。不抢 Stage B。,分类精度/mJ 表≠本地 same-port 净服务；双前传训练成本勿写成推理省；仅方法摘录窗口。,Ae−Ai→二进制 token mask 作结构化跳过模板（对照 F1 可共同删） | 反馈通路「第二遍只跑深阶段」作有损共同完成叙事对照（非搬 FB 环） | α 双损失作多出口一致性先验 | 负结果只停「侧抑制挂 r1」布局,token mask 不能落到物理源字/门服务下降或破 AEE → 停该注意力整形布局，保留文献对照。
MAIN-R064,Hardware Efficient Reconfigurable Time-Step Spiking Transformer,arxiv_2503.19643+本地excerpt,方法级（仅方法摘录窗口）+依据：element-wise-IAND 代残差加法使全链路 spike I/O；可重构向量化数据流覆盖 3×3/1×1/MatMul；unrolled LIF 同时算多时间步、免膜 SRAM；摘录偏结果/结论，前半数据流细节可能截断,时间步展开 LIF + 可重构向量数据流 + IAND 残差保 spike-only I/O——作「时空并行供数/免膜状态」硬件分母对照（借入≠X；近 Gustav CPTB 时间并行叙事）。,逐步串行 LIF+膜 SRAM；仅 CNN 稀疏加速器；残差用实值加破坏 spike I/O。,unrolled LIF/IAND≠本地 lifting 执行对象 X；差分须在 same-port 下相对 ordinary dense/raw，而非搬 3456GSOPS。,F5/F7 时空并行与状态驻留对照；旁路。不抢 Stage B。,28nm 表项/TSOPS/W≠本地 θg 合同；Spike-IAND-former 精度表勿外推光流 AEE；仅方法摘录窗口且方法段偏短。,多时间步展开免膜 SRAM→对照有限 RF/状态存活（F5） | IAND 残差作 spike-only 接口强约束对照 | 可重构 3×3/1×1/MatMul 同阵列作多算子分母 | 负结果只停「照搬 unrolled LIF 到 T10」,展开后端口/状态账吃掉并行收益或破坏同端口公平 → 仅文献对照，不停 Stage B。
MAIN-R062,Bishop,arxiv_2505.12281+本地excerpt,方法级（仅方法摘录窗口）+依据：§3.2 Token-Time Bundle（TTB）打包；BSA 束级稀疏损失；§5.1 ECP 按 nab/θp 界剪 Q/K 束行；异构 sparse/dense/attention 三核,TTB 结构化打包 + BSA 束级稀疏训练 + ECP 误差约束剪 Q/K——「结构化可跳过工作单元 + 有界误差剪枝」可直接对照 F1 共同删字与 F2 组完成（借入≠X）。,逐尖峰不规则跳过；无束级损失的朴素稀疏；无误差界的注意力剪枝；单一稠密核。,TTB/BSA/ECP≠ lifting 源活动×双 PED 删字 X；本地主张在非因果 T10×残差链消费者，而非 SSA 二次复杂度本身。,F1/F2/F7 强相关（结构化剪枝/组稀疏）；Stage B 后可挂。不抢 Stage B。,CIFAR/ImageNet-100 注意力图≠AEE 门；异构三核 PPA 勿搬；仅方法摘录窗口。,TTB 作「可共同调度的结构化工作单元」模板对齐 F1 广播域 | L_bsp 束级损失作训练诱导结构稀疏先验 | ECP 用 nab<θp 证 S 行上界→对照 F6 有界提前完成（借入界≠X） | 稀/密分层异构核作 Stage B 后执行组织对照,同槽不胜 HiNM/窄稠密或破 AEE，或并集仍读满无周期余量 → 停该 TTB/ECP 挂 r1 布局。
MAIN-R061,SpikeX,arxiv_2505.12292+本地excerpt,方法级（仅方法摘录窗口）+依据：引言/背景级 Agile SpatioTemporal Dispatch、Activation-induced Weight Tailoring、NTWU、稀疏参数化能耗时延模型做网-芯共设计；完整调度算法细节可能截断,面向时空不规则尖峰的敏捷派发 + 激活诱导权裁剪 + 稀疏桥接的网芯共优化接口——作「占用/活动驱动的执行与训练共设计」底座（借入≠X；与本地 F6/块占用叙事相关）。,ANN 式脉动阵列无视尖峰稀疏；训练与加速器配置割裂；固定映射无视时间窗。,SpikeX 派发/裁剪≠ lifting 结构化因子图 X；共优化接口可作对照，标题差分仍在 T10 执行对象。,F1/F6/F7 相关（活动裁剪/占用费用）；第二队列。不抢 Stage B。,EDP 15×–150× 勿搬；摘录以动机/总览为主，缺完整 Algo 细步；仅方法摘录窗口。,NTWU（神经元×时间窗工作单元）作打包粒度对照 | Activation-induced Weight Tailoring↔活动感知供数面 | 稀疏参数化能耗模型作训练目标接口模板（对照 F5/F6） | 负结果只停「照搬 SpikeX 映射到 PSN」,共优化后同精度净服务不胜静态窄层/普通稀疏跳过 → 停该共设计布局。
MAIN-R060,FireFly-T,arxiv_2505.12771+本地excerpt,方法级（仅方法摘录窗口）+依据：双引擎（sparse + binary）overlay；多 lane 稀疏解码+无 bank 冲突负载均衡；binary 引擎隐式转置+LUT6 AND-PopCount；prefers 二值注意力+神经元前残差；摘录偏总览/背景,稀疏引擎吞吐向 sparsity 利用 + 二值注意力专用引擎（AND-PopCount）双 overlay——作 spiking transformer 稀疏/二值路径硬件分母（借入≠X；与已有 FireFly-S 卡区分）。,粗粒度分组稀疏（整组跳过率低）；CSR 单非零/周期细粒度；无注意力支持的纯卷积 FireFly。,FireFly-T overlay≠ lifting X；本地不把 FPGA DSP/LUT 节省写成 Stage B 净服务。,F7 硬件稀疏执行对照；旁路主岛。不抢 Stage B。,与 MAIN-R059 FireFly-S/批错绑 SCNN 区分；KV260 实现≠本地 RTL；仅方法摘录窗口。,双引擎分工（稀疏 GeMM vs 二值注意力）作路径专用化对照 | 无冲突负载均衡作不规则供数叙事 | AND-PopCount 二值注意力作乘法消除强对照 | 神经元前残差保 spike 输入效率,无法对齐 same-port 计费 → 仅文献对照；若与 FireFly-S/SCNN 错绑引用 → 废错绑。
MAIN-R048,BitParticle,arxiv_2507.09780+本地excerpt,方法级（仅方法摘录窗口）+依据：双因子比特稀疏 particlization（1/2/2/2 粒子）；IR 拼接压到≤7 PP；近似丢次要 IR；组内/组间准同步弹性；可切换数据流,双操作数比特粒子化 + 拼接减 PP + 准同步弹性 MAC 阵列——作「比特级双稀疏执行与弹性同步」强对照（DNN 比特稀疏族；借入≠X）。,单因子 bit-serial；EBS 式 16 IR 爆炸；Laconic 组内刚性同步。,DNN 比特粒子≠SNN/T10 源字删字 X；可作普通压缩/近似乘对照轴，不作标题。,旁路（DNN MAC）；与 FLARE/BitSift/BBS 比特族并列阅读。不抢 Stage B。,ResNet/MobileNet 精度≠AEE；近似变体误差勿外推光流；仅方法摘录窗口。,双因子比特稀疏暴露作普通压缩上界 | IR 拼接「零开销拼接代累加」技巧对照 | 准同步弹性↔有限服务背压下利用率叙事 | 与已有 BitVert/BitSift 卡成谱系,仅换比特 MAC 无 lifting 结构，相对 ordinary 无净服务/精度门 → 停「当标题」。
MAIN-R213,SpikePool,arxiv_2510.12102+本地excerpt,方法级（仅方法摘录窗口）+依据：频域 RLA 分析（SNN transformer 高通）；Pooling Attention 用 2D max pooling 替代 SSA；频域感知带通设计动机,用池化注意力替换二次 SSA，以低通池化平衡尖峰变压器固有高通——算法侧降注意力复杂度的强简化对照（借入≠X）。,标准 SSA/QKFormer 式自注意力；纯卷积无注意力；无频域动机的随意池化。,池化注意力≠ lifting X；事件分类/检测延迟≠本地光流 same-port。,F7 弱相关（降注意力费用）；旁路。不抢 Stage B。,训练/推理时间 −42%/−33% 勿写成硬件净服务%；仅方法摘录窗口。,高通偏差诊断作「为何事件任务需带通」阅读 | max-pool 注意力作 O(N²) 消除强基线 | 与 SDT/SSA 特征图对照阅读 | 负结果只停「池化注意力挂光流头」,替换注意力后 AEE/任务门不过或服务不降 → 停该替换布局。
MAIN-R214,Spiking Patches,arxiv_2510.26614+本地excerpt,方法级（仅方法摘录窗口）+依据：§III 把 patch 当脉冲神经元（电位累加、阈值出 token、可选不应期丢事件）；保异步与空间稀疏；O(n) tokenizer,事件→token 的脉冲式时空分词（patch 电位/阈值/不应期）——前端表示层保留异步稀疏，可作事件光流输入表示对照（借入≠X）。,固定时间窗帧化/体素；先帧化再筛活跃 patch；破坏异步的 ViT 事件管线。,分词器≠ lifting T10 X；本地主岛在 r1 残差链执行，不在 tokenizer。,旁路（前端表示）；与事件光流输入有弱相关。不抢 Stage B。,手势/检测精度与 token 缩减≠AEE 合同；仅方法摘录窗口。,patch-as-neuron 作异步稀疏 token 模板 | 不应期 T 作序列长度旋钮对照 Transformer 二次费用 | 相对帧/体素的输入缩减作前端基线 | 负结果只停「替换本地事件前端」布局,替换前端后精度/延迟无增益或破坏现有合同 → 停该分词挂载。
MAIN-R203,ASTER,arxiv_2511.06770+本地excerpt,"方法级（仅方法摘录窗口）+依据：TAFT 低活动注意力块 identity 跳过；CBET 置信度早退时步；贝叶斯选 (τ,β)；PIM/RRAM 层次；可编程 WL 按非零激活选通；SDSA 二值 mask-and-add 数据流",任务感知层跳过 + 置信度时步早退 + 按输入稀疏选通 WL 的 PIM 数据流——「动态减少注意力/时步工作量」完整先验，紧贴 F2/F4/F6（借入≠X）。,固定全层全时步推理；粗粒度 bank 门控；无稀疏感知的稠密矩阵向量。,TAFT/CBET/PIM≠ lifting 半步检查点 X；差分挂在 lifting RNE 边界与 r1 并集费用，而非 RRAM 模拟乘。,F2/F4/F7 强相关；第二队列。不抢 Stage B。,PIM/RRAM 能耗数字勿搬到数字 same-port；层跳过一次静态决定≠在线 lifting 取消；仅方法摘录窗口。,"TAFT 低尖峰块→identity 作「整块退休」模板对照 F2 | CBET 早退作时步维有损共同完成 | (τ,β) 帕累托选阈作杀门标定方法 | 细粒度 WL mask 按 Hamming 计费↔活动驱动供数",跳过/早退后净服务不胜静态窄层+同组关闭，或 AEE 破门 → 停该动态剪布局。
MAIN-R211,CATFormer,arxiv_2603.15184+本地excerpt,方法级（仅方法摘录窗口）+依据：动态阈值适应防遗忘；Gated Dynamic Head Selection（门控 MLP 路由任务头）；Algo1/2 训练与推理；摘录偏实验对比，机制公式可能截断,动态阈值 + 门控任务头路由实现无回放持续学习——算法侧「阈值/路由适应」对照，非执行稀疏主线（借入≠X）。,无适应固定阈值 SNN；EWC/MAS 正则；依赖记忆缓冲的 rehearsal。,持续学习动态阈值≠ lifting/源字 X；与本地光流主岛正交。,F2 弱（路由/选择）；旁路。不抢 Stage B。,CIL 精度表≠AEE；无缓冲声明勿外推硬件 RF；仅方法摘录窗口。,动态阈值作神经元级适应旋钮阅读 | 门控头选择作多专家路由对照 | 无 rehearsal 约束作存储边界叙事 | 负结果只停「CIL 头挂光流」,对主岛无净服务/精度贡献 → 保持旁路，不进标题。
MAIN-R071,L-SPINE,arxiv_2604.03626+本地excerpt,方法级（仅方法摘录窗口）+依据：低精度 SIMD 脉冲计算引擎；摘录可见 CORDIC/无乘/PWL/查找表等算术线索与可适配流水级；图多文碎，完整 ISA/数据流可能截断,面向边缘的低精度 SIMD SNN 引擎（无乘/近似算术族）——普通低精度执行对照底座（借入≠X）。,全精度浮点 SNN；纯标量非 SIMD；通用 CPU 解释执行。,低精度 SIMD≠结构化 T10 X；PoT/移位等作强对照时权限同等。,旁路（边缘算术引擎）。不抢 Stage B。,摘录噪声大、方法段不完整；勿搬未核 PPA；仅方法摘录窗口。,无乘/PWL/LUT 近似作普通压缩对照 | SIMD 打包粒度对照源字向量化 | 可适配流水级作精度-资源旋钮 | 证据不足时只保留「待补全文」标记,证据不足以支撑迁移主张 → 不升主岛；补全文前不作硬件承诺。
MAIN-R013,ELSA (SNN 2026),arxiv_2605.20802+本地excerpt,方法级（仅方法摘录窗口）+依据：弹性 SNN（片上存权+膜）；spine/token 级细粒度流水；对比表含 Prosperity/Phi 等；Gustavson 依赖/mini-batch 线索；摘录偏面积拆解与对比表，微架构细部可能截断,弹性推理（权/膜驻留片上）+ spine/token 级流水提高弹性加速器面积效率——与 F5 生存期/驻留及 Gustav 供数叙事同族对照（借入≠X）。,非弹性（权流式、膜换出）高面积效率但欠灵活；无 spine/token 流水的弹性基线。,ELSA 弹性流水≠ lifting 因子对齐打包 X（F7）；Stage B 先用未对齐部件作分母。,F5/F7 相关；Stage B 后可挂。不抢 Stage B。,对比表 TOPS/W 勿搬；弹性定义以摘录为准；全文 382k 字仅窗口；仅方法摘录窗口。,spine/token 流水作细粒度弹性调度模板 | 片上权+膜驻留↔有限 RF 周转（F5） | 与 Prosperity/Phi 同表阅读定位 | mini-batch/Gustavson 依赖线索待补全文核,对齐/弹性改造后物理服务不优于同 Gustav+ordinary 序 → 停该弹性挂载布局。
MAIN-R221,EventShiftFlow,arxiv_2605.28312+本地excerpt,方法级（仅方法摘录窗口）+依据：面向 FPGA 的移位式光流估计；无帧重建、无浮点、无迭代优化；密度相关参数；单轴原型、<2kB 存储；与平面拟合等对照,硬件友好的事件光流移位 datapath（确定性、低存储）——同任务域（光流）的非学习/轻量基线对照（借入≠X）。,迭代优化/平面拟合重算法；需帧重建的 DNN 光流；高资源 FPGA 光流。,经典移位光流≠ SNN Transformer+lifting 标题 X；可作任务域弱基线，不进主岛新颖性。,旁路（同任务非 SNN 基线）。不抢 Stage B。,合成/真实速度误差≠AEE 合同口径；FPGA LUT/BRAM 勿写成 Stage B%；仅方法摘录窗口。,无 FP/无迭代作「可综合光流核」下界 | <2kB 存储作极端 SWaP 对照 | 密度相关参数作鲁棒性旋钮 | 与本地学习式光流 SNN 并读时只作任务基线,对主岛主张无差分贡献 → 保持旁路基线，不进 A+B 标题。
MAIN-R012,Gustavson algorithm,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R032,Eyeriss (row stationary),unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R053,ANT,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R054,SpinalFlow,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R055,SATO,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R056,STELLAR,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R065,Configurable CSA for Spiking Transformers,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R066,ESSA,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R068,COMPASS,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R076,ELSA (attention 2021),unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R124,QP-SNN,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R136,CompRRAE,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R139,DPES,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R179,MACISH,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R260,EEMFlow,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R267,SNNIM,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R279,Cha DVS/CIS NPU trigger,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R281,NullHop,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R282,DVS + NullHop demonstration,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R283,Lele fused frame-event optical flow,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R285,Spike-CIM,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R286,TFSRAM,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R290,ASNA-Flow,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R291,ERAFT FPGA,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R292,FlowAcc,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R293,Liu optical-flow FPGA TCAS-I 2025,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R294,Optical flow tracking FPGA,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R295,FPGA plane-fitting event optical flow,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R297,Neuro-CIM JSSC extension,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R298,Clock-free multilevel-event SNN,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R315,VideoFlow,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R327,Tu Bitline-Transpose CIM Transformer,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R328,C-Transformer,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R332,Keller Per-Vector INT4,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MAIN-R358,Eyeriss chip,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-OF003,TCAS-I_2025_adaptive_OF,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-OF008,TDE-3,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-OF009,SDformerFlow,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-OF011,Spike-FlowNet,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-OF012,ASNA-Flow,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-OF014,Ultra-Flow,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-SN002,Quantized_SpikeDriven_Transformer,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-SN005,SpinalFlow,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-SN007,STELLAR,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-SN008,FireFly,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-SN009,FireFly-T,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-SN010,ESSA,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-SN011,COMPASS,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-SN012,Bishop,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-SN014,Xpikeformer,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-SN015,SPARTA,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-SN017,Parallel_Time_Batching,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-SN018,MFPSN,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-SN019,ISSCC22_UED_SNN,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-AT004,Sanger,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-AT005,FACT,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-CR001,LUT-DLA,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-CR008,ISSCC25_ConvFormer,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
MUSHA-CM003,Spike-CIM,unresolved_no_fulltext,unresolved_no_fulltext,无全文不可继承,n/a,无,不进入主建议直至定位,禁止虚报精读,待补抓取队列 | DOI/题名回查,无全文则保持 unresolved
